AIC BIC aBIC DIC
msst_wide_ml_r1 84132.106 84173.789 84123.257 NA
msst_long_ml_r1 84117.72 84224.912 84174.068 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 83232.6
cuts_wide_ml_r1 -999 -999 -999 -999
cuts_long_ml_r1 -999 -999 -999 -999
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 79039.092
tso_wide_ml_r1 78560.276 78620.195 78547.556 NA
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 70382.685
msst_wide_ml_r2 84251.067 84292.75 84242.218 NA
msst_long_ml_r2 84236.166 84343.358 84292.515 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 83328.978
cuts_wide_ml_r2 -999 -999 -999 -999
cuts_long_ml_r2 -999 -999 -999 -999
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 79156.896
tso_wide_ml_r2 78805.962 78865.881 78793.241 NA
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 70472.327
msst_wide_ml_r3 84221.141 84262.824 84212.292 NA
msst_long_ml_r3 84205.855 84313.047 84262.203 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 83270.122
cuts_wide_ml_r3 -999 -999 -999 -999
cuts_long_ml_r3 -999 -999 -999 -999
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 79219.393
tso_wide_ml_r3 78803.032 78862.95 78790.311 NA
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 70504.904
msst_wide_ml_r4 84080.833 84122.516 84071.984 NA
msst_long_ml_r4 84065.228 84172.42 84121.576 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 83101.713
cuts_wide_ml_r4 -999 -999 -999 -999
cuts_long_ml_r4 -999 -999 -999 -999
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 79253.933
tso_wide_ml_r4 78962.765 79022.684 78950.044 NA
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 70659.858
msst_wide_ml_r5 83952.517 83994.2 83943.668 NA
msst_long_ml_r5 83937.04 84044.232 83993.388 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 83006.644
cuts_wide_ml_r5 -999 -999 -999 -999
cuts_long_ml_r5 -999 -999 -999 -999
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 78964.272
tso_wide_ml_r5 78708.298 78768.217 78695.577 NA
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 70510.877
msst_wide_ml_r6 84622.297 84663.98 84613.448 NA
msst_long_ml_r6 84600.043 84707.235 84656.392 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 83421.655
cuts_wide_ml_r6 -999 -999 -999 -999
cuts_long_ml_r6 -999 -999 -999 -999
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 79104.863
tso_wide_ml_r6 78637.702 78697.621 78624.981 NA
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 70144.544
msst_wide_ml_r7 84647.685 84689.368 84638.836 NA
msst_long_ml_r7 84628.919 84736.111 84685.267 NA
msst_wide_bayes_r7 NA NA NA NA
