\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r1 16 5712.294 8 0 0.315 -0.027 0.345 67979.526 68086.719 68035.875 NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r1 23 149682.203 29137 0 0.157 0.171 0.203 61158.927 61218.845 61146.206 NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r2 16 5991.304 8 0 0.301 -0.048 0.353 68631.886 68739.078 68688.235 NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r2 23 150423.519 29137 0 0.173 0.186 0.204 61507.935 61567.854 61495.214 NA NA NA
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r3 16 6478.14 8 0 0.26 -0.11 0.367 68566.878 68674.07 68623.226 NA NA NA
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r3 23 149326.935 29137 0 0.182 0.195 0.203 61052.113 61112.032 61039.392 NA NA NA
tso_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r4 16 4354.806 8 0 0.48 0.22 0.301 66793.436 66900.628 66849.784 NA NA NA
msst_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r4 23 149663.69 29137 0 0.172 0.185 0.203 61370.661 61430.58 61357.94 NA NA NA
tso_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r5 16 5720.912 8 0 0.307 -0.039 0.345 68131.221 68238.414 68187.57 NA NA NA
msst_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r5 23 149637.132 29137 0 0.194 0.207 0.203 61330.299 61390.218 61317.578 NA NA NA
tso_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r6 16 5320.495 8 0 0.358 0.037 0.333 67642.233 67749.425 67698.581 NA NA NA
msst_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r6 23 149324.437 29137 0 0.192 0.204 0.203 61410.771 61470.69 61398.05 NA NA NA
tso_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r7 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r7 16 5242.56 8 0 0.376 0.064 0.33 67410.885 67518.077 67467.234 NA NA NA
msst_wide_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r7 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r7 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r7 23 149516.052 29137 0 0.185 0.198 0.203 61165.048 61224.967 61152.327 NA NA NA
tso_wide_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r8 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r8 16 6739.842 8 0 0.192 -0.211 0.374 69322.04 69429.232 69378.389 NA NA NA
msst_wide_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r8 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r8 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r8 23 149500.457 29137 0 0.177 0.19 0.203 61511.16 61571.079 61498.439 NA NA NA
tso_wide_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r9 16 6379.716 8 0 0.244 -0.135 0.364 68637.181 68744.373 68693.529 NA NA NA
msst_wide_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r9 23 149319.931 29137 0 0.168 0.181 0.203 61192.415 61252.334 61179.695 NA NA NA
tso_wide_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r10 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r10 16 5167.014 8 0 0.419 0.128 0.328 67659.839 67767.031 67716.188 NA NA NA
msst_wide_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r10 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r10 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r10 23 149495.164 29137 0 0.178 0.191 0.203 61366.037 61425.956 61353.316 NA NA NA
tso_wide_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r11 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r11 16 5748.413 8 0 0.284 -0.074 0.346 68267.096 68374.288 68323.445 NA NA NA
msst_wide_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r11 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r11 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r11 23 149618.878 29137 0 0.186 0.199 0.203 61453.744 61513.663 61441.024 NA NA NA
tso_wide_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r12 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r12 16 6495.136 8 0 0.227 -0.159 0.368 68936.771 69043.963 68993.119 NA NA NA
msst_wide_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r12 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r12 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r12 23 149781.813 29137 0 0.168 0.181 0.203 61489.02 61548.939 61476.299 NA NA NA
