ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 16 7886.545 1874 0 0.366 0.401 0.179 14343.744 14385.427 14334.895 NA NA NA
msst_long_ml_r1 16 488.776 8 0 0.779 0.669 0.2 14342.276 14427.277 14376.449 NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 20 7403.345 1870 0 0.416 0.447 0.172 13868.544 13920.648 13857.483 NA NA NA
cuts_long_ml_r1 20 7.045 4 0.1335 0.999 0.996 0.023 13868.545 13974.796 13911.261 NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r1 23 7402.345 1867 0 0.416 0.446 0.172 13873.544 13933.463 13860.823 NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r2 16 7189.969 1874 0 0.389 0.423 0.168 14309.763 14351.446 14300.914 NA NA NA
msst_long_ml_r2 16 387.425 8 0 0.831 0.747 0.178 14308.377 14393.378 14342.55 NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 20 6805.399 1870 0 0.433 0.463 0.162 13933.194 13985.297 13922.132 NA NA NA
cuts_long_ml_r2 20 4.242 4 0.3742 1 1 0.006 13933.194 14039.445 13975.91 NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r2 23 6803.744 1867 0 0.433 0.462 0.163 13937.538 13997.457 13924.817 NA NA NA
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r3 16 7328.773 1874 0 0.343 0.38 0.171 14188.234 14229.916 14179.384 NA NA NA
msst_long_ml_r3 16 494.536 8 0 0.779 0.669 0.201 14186.693 14271.683 14220.855 NA NA NA
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 20 6834.233 1870 0 0.402 0.434 0.163 13701.693 13753.796 13690.631 NA NA NA
cuts_long_ml_r3 20 1.537 4 0.8201 1 1.003 0 13701.693 13807.931 13744.396 NA NA NA
cuts_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r3 23 6833.858 1867 0 0.402 0.433 0.163 13707.318 13767.237 13694.597 NA NA NA
tso_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r4 16 7745.871 1874 0 0.325 0.363 0.177 14216.872 14258.555 14208.023 NA NA NA
msst_long_ml_r4 16 502.982 8 0 0.768 0.651 0.203 14215.407 14300.407 14249.58 NA NA NA
msst_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r4 20 7246.404 1870 0 0.382 0.415 0.17 13725.405 13777.508 13714.343 NA NA NA
cuts_long_ml_r4 20 4.98 4 0.2893 1 0.999 0.013 13725.405 13831.656 13768.122 NA NA NA
cuts_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r4 23 7243.144 1867 0 0.382 0.414 0.17 13728.145 13788.064 13715.424 NA NA NA
tso_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r5 16 6993.011 1874 0 0.391 0.425 0.165 14129.763 14171.446 14120.914 NA NA NA
msst_long_ml_r5 16 405.211 8 0 0.809 0.713 0.182 14128.524 14213.472 14162.644 NA NA NA
msst_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r5 20 6591.31 1870 0 0.438 0.468 0.159 13736.062 13788.166 13725.001 NA NA NA
cuts_long_ml_r5 20 4.749 4 0.3141 1 0.999 0.011 13736.062 13842.246 13778.712 NA NA NA
cuts_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r5 23 6587.467 1867 0 0.438 0.468 0.159 13738.219 13798.138 13725.498 NA NA NA
tso_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r6 16 7209.264 1874 0 0.357 0.393 0.169 14267.618 14309.3 14258.768 NA NA NA
msst_long_ml_r6 16 635.174 8 0 0.713 0.57 0.229 14265.939 14350.919 14300.091 NA NA NA
msst_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r6 20 6577.914 1870 0 0.433 0.463 0.159 13644.267 13696.371 13633.206 NA NA NA
cuts_long_ml_r6 20 5.502 4 0.2395 0.999 0.998 0.016 13644.268 13750.492 13686.957 NA NA NA
cuts_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r6 23 6573.574 1867 0 0.433 0.463 0.159 13645.927 13705.846 13633.207 NA NA NA
tso_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r7 16 7397.688 1874 0 0.345 0.382 0.172 14448.219 14489.902 14439.37 NA NA NA
msst_long_ml_r7 16 604.182 8 0 0.705 0.558 0.223 14446.604 14531.605 14480.777 NA NA NA
msst_wide_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r7 20 6793.968 1870 0 0.416 0.448 0.162 13852.5 13904.603 13841.438 NA NA NA
cuts_long_ml_r7 20 2.078 4 0.7214 1 1.003 0 13852.5 13958.751 13895.217 NA NA NA
cuts_wide_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r7 23 6792.171 1867 0 0.416 0.447 0.162 13856.702 13916.621 13843.981 NA NA NA
tso_wide_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r8 16 7290.64 1874 0 0.354 0.39 0.17 14360.913 14402.595 14352.063 NA NA NA
msst_long_ml_r8 16 567.572 8 0 0.743 0.614 0.216 14359.38 14444.381 14393.554 NA NA NA
msst_wide_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r8 20 6724.071 1870 0 0.422 0.452 0.161 13802.343 13854.447 13791.282 NA NA NA
cuts_long_ml_r8 20 2.535 4 0.6384 1 1.002 0 13802.343 13908.595 13845.06 NA NA NA
cuts_wide_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r8 23 6719.734 1867 0 0.422 0.452 0.161 13804.007 13863.926 13791.286 NA NA NA
tso_wide_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r9 16 7002.34 1874 0 0.376 0.41 0.165 14082.438 14124.121 14073.589 NA NA NA
msst_long_ml_r9 16 478.096 8 0 0.774 0.662 0.198 14080.893 14165.894 14115.067 NA NA NA
msst_wide_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r9 20 6527.717 1870 0 0.433 0.463 0.158 13615.816 13667.919 13604.754 NA NA NA
cuts_long_ml_r9 20 5.019 4 0.2854 1 0.999 0.013 13615.816 13722.067 13658.533 NA NA NA
cuts_wide_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r9 23 6525.087 1867 0 0.433 0.463 0.158 13619.186 13679.105 13606.465 NA NA NA
tso_wide_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r10 16 7502.593 1874 0 0.398 0.431 0.173 14312.671 14354.354 14303.822 NA NA NA
msst_long_ml_r10 16 412.458 8 0 0.826 0.739 0.184 14311.154 14396.144 14345.316 NA NA NA
msst_wide_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r10 20 7089.32 1870 0 0.441 0.471 0.167 13907.399 13959.502 13896.337 NA NA NA
cuts_long_ml_r10 20 0.704 4 0.9509 1 1.004 0 13907.399 14013.637 13950.102 NA NA NA
cuts_wide_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r10 23 7088.725 1867 0 0.441 0.47 0.167 13912.804 13972.722 13900.083 NA NA NA
tso_wide_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r11 16 6968.441 1874 0 0.381 0.415 0.165 14421.427 14463.11 14412.578 NA NA NA
msst_long_ml_r11 16 551.621 8 0 0.752 0.629 0.213 14419.727 14504.728 14453.9 NA NA NA
msst_wide_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r11 20 6423.106 1870 0 0.447 0.476 0.156 13884.092 13936.195 13873.03 NA NA NA
cuts_long_ml_r11 20 7.986 4 0.0921 0.998 0.995 0.026 13884.092 13990.343 13926.809 NA NA NA
cuts_wide_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r11 23 6417.165 1867 0 0.447 0.476 0.156 13884.151 13944.07 13871.43 NA NA NA
tso_wide_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r12 16 7110.976 1874 0 0.393 0.427 0.167 14408.212 14449.894 14399.362 NA NA NA
msst_long_ml_r12 16 655.501 8 0 0.699 0.548 0.232 14406.57 14491.56 14440.733 NA NA NA
msst_wide_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r12 20 6455.754 1870 0 0.469 0.497 0.157 13760.99 13813.093 13749.928 NA NA NA
cuts_long_ml_r12 20 1.92 4 0.7504 1 1.003 0 13760.99 13867.227 13803.693 NA NA NA
cuts_wide_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r12 23 6453.267 1867 0 0.469 0.496 0.157 13764.503 13824.422 13751.782 NA NA NA
tso_wide_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r13 16 6668.434 1874 0 0.404 0.437 0.16 14379.563 14421.246 14370.714 NA NA NA
msst_long_ml_r13 16 494.266 8 0 0.779 0.668 0.201 14378.157 14463.158 14412.33 NA NA NA
msst_wide_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r13 20 6176.231 1870 0 0.465 0.493 0.152 13895.36 13947.463 13884.298 NA NA NA
cuts_long_ml_r13 20 3.469 4 0.4826 1 1.001 0 13895.36 14001.611 13938.077 NA NA NA
cuts_wide_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r13 23 6174.356 1867 0 0.465 0.493 0.152 13899.486 13959.405 13886.765 NA NA NA
tso_wide_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r14 16 6595.442 1874 0 0.409 0.442 0.159 14553.56 14595.242 14544.71 NA NA NA
msst_long_ml_r14 16 550.767 8 0 0.763 0.645 0.213 14551.805 14636.785 14585.957 NA NA NA
msst_wide_bayes_r14 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r14 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r14 20 6048.242 1870 0 0.477 0.505 0.149 14014.36 14066.463 14003.298 NA NA NA
cuts_long_ml_r14 20 5.322 4 0.2559 0.999 0.998 0.015 14014.36 14120.584 14057.05 NA NA NA
cuts_wide_bayes_r14 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r14 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r14 23 6044.965 1867 0 0.477 0.505 0.15 14017.083 14077.002 14004.362 NA NA NA
tso_wide_bayes_r14 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r14 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r15 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r15 16 571.654 8 0 0.739 0.608 0.217 14346.5 14431.49 14380.663 NA NA NA
msst_wide_bayes_r15 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r15 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r15 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r15 20 1.473 4 0.8314 1 1.004 0 13784.319 13890.557 13827.023 NA NA NA
cuts_wide_bayes_r15 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r15 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r15 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r15 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r15 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r16 16 7472.809 1874 0 0.382 0.417 0.173 14383.653 14425.336 14374.804 NA NA NA
msst_long_ml_r16 16 492.857 8 0 0.791 0.687 0.201 14382.098 14467.066 14416.239 NA NA NA
msst_wide_bayes_r16 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r16 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r16 20 6982.061 1870 0 0.436 0.466 0.165 13900.906 13953.009 13889.844 NA NA NA
cuts_long_ml_r16 20 3.665 4 0.4532 1 1 0 13900.906 14007.117 13943.582 NA NA NA
cuts_wide_bayes_r16 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r16 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r16 23 6979.146 1867 0 0.436 0.465 0.165 13903.99 13963.909 13891.269 NA NA NA
tso_wide_bayes_r16 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r16 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r17 16 7105.892 1874 0 0.38 0.415 0.167 14117.056 14158.739 14108.207 NA NA NA
msst_long_ml_r17 16 395.337 8 0 0.819 0.728 0.18 14115.632 14200.633 14149.806 NA NA NA
msst_wide_bayes_r17 NA NA NA NA NA NA NA NA NA NA NA NA NA
