\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 18475.289 15.773 0.323
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 18186.356 131.534 0.51
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 18480.707 17.757 0.324
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 18193.367 162.694 0.463
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 18481.966 18.371 0.305
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 16742.116 1620.882 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 18601.186 15.803 0.396
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 18309.359 133.507 0.41
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 18607.864 16.835 0.378
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 18319.911 156.743 0.364
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 18611.989 18.062 0.352
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 16755.214 1641.567 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 18524.562 15.857 0.211
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 18242.124 134.682 0.521
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 18532.109 17.305 0.177
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 18249.159 154.991 0.525
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 18532.848 17.958 0.193
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 16808.42 1622.789 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 18618.955 15.992 0.862
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 18319.042 132.806 0.552
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 18625.766 16.203 0.845
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 18327.43 145.36 0.554
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 18630.769 17.142 0.829
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 16780.655 1639.074 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
