w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 1 0.479 1.251 0.778 1.917 0.598 0.263 0.695 0.473 NA 1 0.504 1.466 0.847 0 0.147 -0.298 0.391 0.666 3.988 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 1 0.478 1.253 0.779 1.917 0.597 0.261 0.691 0.471 NA 1 0.503 1.456 0.844 0 0.15 -0.257 0.404 0.672 3.989 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 1 0.479 1.261 0.781 1.905 0.585 0.26 0.664 0.464 NA 1 0.503 1.442 0.839 3.993 2.159 5.564 3.774 0.676 NA 0.015 0.004 0.039 0.012 NA NA NA NA NA NA
cuts_long_bayes_r1 1 0.479 1.262 0.782 1.905 0.587 0.26 0.663 0.463 NA 1 0.504 1.441 0.838 3.996 2.159 5.566 3.776 0.677 NA 0.014 0.004 0.039 0.013 NA NA NA NA NA NA
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 1 0.479 1.262 0.782 1.88 0.584 0.259 0.664 0.462 -0.05 NA NA NA NA 3.995 2.16 5.564 3.777 NA NA 0.795 0.2 1.625 0.555 0.388 1.101 0.551 0.644 0.322 0.922
tso_long_bayes_r1 1 0.479 1.262 0.782 1.875 0.584 0.259 0.663 0.462 -0.05 NA NA NA NA 3.973 2.15 5.53 3.759 NA NA 0.805 0.202 1.633 0.561 0.392 1.112 0.554 0.65 0.325 0.929
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 1 0.524 1.294 0.803 1.879 0.594 0.207 0.694 0.426 NA 1 0.533 1.436 0.786 0 0.1 -0.064 0.658 0.411 3.916 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 1 0.524 1.296 0.803 1.88 0.592 0.206 0.686 0.426 NA 1 0.536 1.44 0.791 0 0.092 -0.085 0.64 0.408 3.914 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 1 0.524 1.311 0.804 1.864 0.587 0.206 0.633 0.425 NA 1 0.532 1.372 0.782 3.916 2.187 5.557 3.736 0.421 NA 0.009 0.002 0.066 0.005 NA NA NA NA NA NA
cuts_long_bayes_r2 1 0.524 1.311 0.803 1.864 0.585 0.206 0.634 0.425 NA 1 0.536 1.376 0.786 3.935 2.199 5.585 3.754 0.418 NA 0.009 0.002 0.068 0.005 NA NA NA NA NA NA
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 1 0.524 1.312 0.803 1.842 0.583 0.206 0.63 0.428 -0.04 NA NA NA NA 3.915 2.187 5.558 3.735 NA NA 0.522 0.146 1.004 0.312 0.269 0.678 0.361 0.392 0.206 0.534
tso_long_bayes_r2 1 0.525 1.313 0.803 1.839 0.584 0.205 0.628 0.427 -0.042 NA NA NA NA 3.916 2.188 5.558 3.733 NA NA 0.52 0.144 1.002 0.311 0.267 0.673 0.359 0.392 0.206 0.533
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 1 0.512 1.347 0.8 1.816 0.588 0.255 0.653 0.556 NA 1 0.455 1.328 0.908 0 0.411 0.363 0.171 0.42 3.979 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 1 0.511 1.347 0.8 1.817 0.584 0.253 0.65 0.554 NA 1 0.46 1.334 0.907 0 0.39 0.343 0.174 0.418 3.978 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
