"msst_wide_ml" "msst_long_ml" "msst_wide_bayes" "msst_long_bayes" "cuts_wide_ml" "cuts_long_ml" "cuts_wide_bayes" "cuts_long_bayes" "tso_wide_ml" "tso_wide_bayes" "tso_long_bayes"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Non-convergence" "Non-convergence" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Non-convergence" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
NA NA "Ok" "Ok" NA NA "Ok" "Ok" NA "Ok" "Ok"
