AIC BIC aBIC DIC
msst_wide_ml_r1 -999 -999 -999 -999
msst_long_ml_r1 126012.225 126125.905 126075.059 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 124090.763
cuts_wide_ml_r1 -999 -999 -999 -999
cuts_long_ml_r1 -999 -999 -999 -999
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 118285.281
tso_wide_ml_r1 -999 -999 -999 -999
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 105215.502
msst_wide_ml_r2 -999 -999 -999 -999
msst_long_ml_r2 126112.963 126226.643 126175.798 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 124576.416
cuts_wide_ml_r2 -999 -999 -999 -999
cuts_long_ml_r2 -999 -999 -999 -999
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 118480.184
tso_wide_ml_r2 -999 -999 -999 -999
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 105320.829
msst_wide_ml_r3 -999 -999 -999 -999
msst_long_ml_r3 126088.854 126202.534 126151.688 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 124509.644
cuts_wide_ml_r3 -999 -999 -999 -999
cuts_long_ml_r3 -999 -999 -999 -999
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 118616.676
tso_wide_ml_r3 -999 -999 -999 -999
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 105359.984
msst_wide_ml_r4 -999 -999 -999 -999
msst_long_ml_r4 126772.745 126886.425 126835.58 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 125181.601
cuts_wide_ml_r4 -999 -999 -999 -999
cuts_long_ml_r4 -999 -999 -999 -999
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 118042.119
tso_wide_ml_r4 -999 -999 -999 -999
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 105252.96
msst_wide_ml_r5 -999 -999 -999 -999
msst_long_ml_r5 126370.136 126483.815 126432.97 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 124418.308
cuts_wide_ml_r5 -999 -999 -999 -999
cuts_long_ml_r5 -999 -999 -999 -999
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 119116.116
tso_wide_ml_r5 -999 -999 -999 -999
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 106022.928
msst_wide_ml_r6 -999 -999 -999 -999
msst_long_ml_r6 126156.797 126270.476 126219.631 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 124475.631
cuts_wide_ml_r6 -999 -999 -999 -999
cuts_long_ml_r6 -999 -999 -999 -999
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 119043.38
tso_wide_ml_r6 -999 -999 -999 -999
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 105704.517
msst_wide_ml_r7 -999 -999 -999 -999
msst_long_ml_r7 126273.806 126387.485 126336.64 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 124601.246
cuts_wide_ml_r7 -999 -999 -999 -999
cuts_long_ml_r7 -999 -999 -999 -999
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 118820.058
tso_wide_ml_r7 -999 -999 -999 -999
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 105710.42
msst_wide_ml_r8 -999 -999 -999 -999
msst_long_ml_r8 127384.901 127498.581 127447.736 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 125644.038
cuts_wide_ml_r8 -999 -999 -999 -999
cuts_long_ml_r8 -999 -999 -999 -999
cuts_wide_bayes_r8 NA NA NA NA
cuts_long_bayes_r8 NA NA NA 118998.788
tso_wide_ml_r8 -999 -999 -999 -999
tso_wide_bayes_r8 NA NA NA NA
tso_long_bayes_r8 NA NA NA 105677.737
msst_wide_ml_r9 -999 -999 -999 -999
msst_long_ml_r9 126231.775 126345.455 126294.61 NA
msst_wide_bayes_r9 NA NA NA NA
msst_long_bayes_r9 NA NA NA 124427.619
cuts_wide_ml_r9 -999 -999 -999 -999
cuts_long_ml_r9 -999 -999 -999 -999
cuts_wide_bayes_r9 NA NA NA NA
cuts_long_bayes_r9 NA NA NA 118734.5
tso_wide_ml_r9 -999 -999 -999 -999
tso_wide_bayes_r9 NA NA NA NA
tso_long_bayes_r9 NA NA NA 105705.583
msst_wide_ml_r10 -999 -999 -999 -999
msst_long_ml_r10 128019.244 128132.924 128082.078 NA
msst_wide_bayes_r10 NA NA NA NA
msst_long_bayes_r10 NA NA NA 126299.17
cuts_wide_ml_r10 -999 -999 -999 -999
cuts_long_ml_r10 -999 -999 -999 -999
cuts_wide_bayes_r10 NA NA NA NA
cuts_long_bayes_r10 NA NA NA 118621.516
tso_wide_ml_r10 -999 -999 -999 -999
tso_wide_bayes_r10 NA NA NA NA
tso_long_bayes_r10 NA NA NA 105692.078
msst_wide_ml_r11 -999 -999 -999 -999
msst_long_ml_r11 127590.201 127703.88 127653.035 NA
msst_wide_bayes_r11 NA NA NA NA
msst_long_bayes_r11 NA NA NA 125910.329
cuts_wide_ml_r11 -999 -999 -999 -999
cuts_long_ml_r11 -999 -999 -999 -999
cuts_wide_bayes_r11 NA NA NA NA
cuts_long_bayes_r11 NA NA NA 118920.559
tso_wide_ml_r11 -999 -999 -999 -999
tso_wide_bayes_r11 NA NA NA NA
tso_long_bayes_r11 NA NA NA 105762.477
msst_wide_ml_r12 -999 -999 -999 -999
msst_long_ml_r12 126433.513 126547.192 126496.347 NA
msst_wide_bayes_r12 NA NA NA NA
msst_long_bayes_r12 NA NA NA 124575.579
cuts_wide_ml_r12 -999 -999 -999 -999
cuts_long_ml_r12 -999 -999 -999 -999
cuts_wide_bayes_r12 NA NA NA NA
cuts_long_bayes_r12 NA NA NA 118857.93
tso_wide_ml_r12 -999 -999 -999 -999
tso_wide_bayes_r12 NA NA NA NA
tso_long_bayes_r12 NA NA NA 105747.076
msst_wide_ml_r13 -999 -999 -999 -999
msst_long_ml_r13 125795.333 125909.013 125858.168 NA
msst_wide_bayes_r13 NA NA NA NA
msst_long_bayes_r13 NA NA NA 124222.827
cuts_wide_ml_r13 -999 -999 -999 -999
cuts_long_ml_r13 -999 -999 -999 -999
cuts_wide_bayes_r13 NA NA NA NA
cuts_long_bayes_r13 NA NA NA 118423.836
tso_wide_ml_r13 -999 -999 -999 -999
tso_wide_bayes_r13 NA NA NA NA
tso_long_bayes_r13 NA NA NA 105132.087
msst_wide_ml_r14 -999 -999 -999 -999
msst_long_ml_r14 127282.969 127396.649 127345.804 NA
msst_wide_bayes_r14 NA NA NA NA
msst_long_bayes_r14 NA NA NA 125585.71
cuts_wide_ml_r14 -999 -999 -999 -999
cuts_long_ml_r14 -999 -999 -999 -999
cuts_wide_bayes_r14 NA NA NA NA
