w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r1 1 0.408 1.175 0.772 3.526 0.945 0.577 2.021 1.159 NA 1 1.198 1.147 0.784 0 -0.11 0.573 1.929 0.98 2.122 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 1 0.408 1.175 0.772 3.532 0.947 0.578 2.026 1.163 NA 1 1.203 1.147 0.784 0 -0.12 0.571 1.93 1.007 2.123 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 1 0.415 1.194 0.772 3.382 0.951 0.579 1.959 1.113 NA 1 1.146 1.13 0.79 0 0.004 0.61 1.917 1.123 2.121 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r1 1 0.502 1.297 0.796 2.528 0.987 0.512 1.541 0.815 NA 1 0.681 1.021 0.784 2.1 2.423 2.982 3.576 2.009 NA 0.009 0.565 0.383 0.273 NA NA NA NA NA NA
cuts_long_bayes_r1 1 0.502 1.297 0.796 2.529 0.987 0.512 1.541 0.816 NA 1 0.675 1.021 0.782 2.113 2.43 2.997 3.588 2.014 NA 0.009 0.563 0.383 0.273 NA NA NA NA NA NA
tso_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r1 1 0.502 1.299 0.797 2.028 0.989 0.512 1.533 0.816 0.475 NA NA NA NA 2.125 2.439 3.008 3.602 NA NA 2.086 1.564 2.518 1.544 1.41 2.106 1.58 1.626 1.088 1.446
tso_long_bayes_r1 1 0.501 1.298 0.796 2.025 0.988 0.512 1.533 0.816 0.473 NA NA NA NA 2.096 2.41 2.972 3.577 NA NA 2.076 1.553 2.505 1.539 1.399 2.095 1.567 1.62 1.082 1.439
msst_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r2 1 0.398 1.177 0.764 3.902 0.95 0.567 2.059 1.262 NA 1 1.352 1.088 0.896 0 -0.047 0.853 1.754 0.8 1.71 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 1 0.398 1.177 0.764 3.913 0.951 0.568 2.064 1.267 NA 1 1.358 1.089 0.896 0 -0.059 0.85 1.754 0.82 1.711 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 1 0.402 1.193 0.764 3.758 0.955 0.571 2.002 1.199 NA 1 1.29 1.078 0.902 0 0.061 0.869 1.745 0.918 1.712 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r2 1 0.492 1.286 0.8 2.661 0.985 0.507 1.598 0.806 NA 1 0.648 1.019 0.814 1.694 2.26 2.689 3.276 2.072 NA 0.012 0.689 0.373 0.396 NA NA NA NA NA NA
cuts_long_bayes_r2 1 0.492 1.286 0.799 2.66 0.985 0.507 1.597 0.806 NA 1 0.649 1.02 0.813 1.705 2.264 2.705 3.284 2.069 NA 0.012 0.687 0.372 0.396 NA NA NA NA NA NA
tso_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
