w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r1 0 0.007 0.016 0.01 0.045 0.021 0.008 0.034 0.016 NA 0 0.008 0.012 0.009 0 0.033 0.05 0.037 0.321 0.151 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 0 0.007 0.016 0.01 0.045 0.021 0.008 0.035 0.016 NA 0 0.008 0.012 0.009 0 0.033 0.051 0.037 0.348 0.156 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 0 0.007 0.016 0.01 0.045 0.021 0.008 0.035 0.016 NA 0 0.009 0.013 0.01 0 0.037 0.054 0.041 0.352 0.156 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r1 0 0.007 0.016 0.01 0.045 0.021 0.008 0.035 0.016 NA 0 0.008 0.012 0.009 0.151 0.121 0.182 0.136 0.321 NA 0.003 0.002 0.004 0.002 NA NA NA NA NA NA
cuts_wide_bayes_r1 0 0.007 0.015 0.01 0.045 0.021 0.008 0.034 0.016 NA 0 0.009 0.013 0.01 0.155 0.125 0.188 0.141 0.348 NA 0.001 0.001 0.003 0.002 NA NA NA NA NA NA
cuts_long_bayes_r1 0 0.007 0.016 0.01 0.045 0.021 0.008 0.034 0.016 NA 0 0.009 0.013 0.01 0.165 0.132 0.199 0.149 0.354 NA 0.001 0.001 0.003 0.002 NA NA NA NA NA NA
tso_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r1 0 0.007 0.016 0.01 0.045 0.021 0.008 0.034 0.016 0.012 NA NA NA NA 0.156 0.125 0.188 0.141 NA NA 0.38 0.244 0.554 0.31 0.304 0.458 0.366 0.342 0.274 0.413
tso_long_bayes_r1 0 0.007 0.016 0.01 0.045 0.021 0.008 0.035 0.016 0.012 NA NA NA NA 0.126 0.101 0.153 0.114 NA NA 0.38 0.244 0.555 0.31 0.304 0.458 0.367 0.343 0.274 0.414
msst_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r2 0 0.007 0.016 0.01 0.045 0.022 0.009 0.035 0.016 NA 0 0.008 0.013 0.009 0 0.037 0.055 0.041 0.305 0.147 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 0 0.007 0.016 0.01 0.045 0.022 0.009 0.035 0.016 NA 0 0.008 0.013 0.009 0 0.037 0.056 0.041 0.33 0.153 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 0 0.007 0.016 0.01 0.045 0.022 0.009 0.035 0.016 NA 0 0.009 0.013 0.01 0 0.041 0.058 0.045 0.336 0.152 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r2 0 0.007 0.016 0.01 0.045 0.022 0.009 0.035 0.016 NA 0 0.009 0.013 0.009 0.147 0.117 0.175 0.133 0.305 NA 0.003 0.002 0.004 0.003 NA NA NA NA NA NA
cuts_wide_bayes_r2 0 0.007 0.016 0.01 0.045 0.022 0.009 0.035 0.016 NA 0 0.009 0.014 0.01 0.151 0.12 0.181 0.137 0.333 NA 0.002 0.001 0.004 0.001 NA NA NA NA NA NA
cuts_long_bayes_r2 0 0.007 0.016 0.01 0.045 0.022 0.009 0.035 0.016 NA 0 0.009 0.014 0.01 0.144 0.114 0.172 0.13 0.333 NA 0.002 0.001 0.004 0.001 NA NA NA NA NA NA
tso_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r2 0 0.007 0.016 0.01 0.046 0.022 0.009 0.035 0.016 0.012 NA NA NA NA 0.151 0.12 0.18 0.136 NA NA 0.36 0.227 0.514 0.294 0.285 0.429 0.341 0.324 0.258 0.387
tso_long_bayes_r2 0 0.007 0.016 0.01 0.046 0.022 0.009 0.035 0.016 0.012 NA NA NA NA 0.127 0.101 0.152 0.115 NA NA 0.362 0.228 0.517 0.295 0.286 0.431 0.342 0.326 0.258 0.389
msst_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r3 0 0.007 0.016 0.01 0.044 0.021 0.009 0.035 0.016 NA 0 0.008 0.013 0.009 0 0.037 0.056 0.041 0.29 0.143 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 0 0.007 0.016 0.01 0.044 0.021 0.009 0.035 0.016 NA 0 0.008 0.013 0.009 0 0.037 0.056 0.041 0.313 0.149 NA NA NA NA NA NA NA NA NA NA
