msst_wide_ml msst_long_ml msst_wide_bayes msst_long_bayes cuts_wide_ml cuts_long_ml cuts_wide_bayes cuts_long_bayes tso_wide_ml tso_wide_bayes tso_long_bayes
3600.03 1.87 1376.29 498.25 3600.03 1.94 1421.9 942.33 3600.03 1368.06 537.03
3600.07 1.96 1366.88 847.28 3600.03 2.35 1422.95 260.69 3600.03 1346.08 973.58
3600.05 1.97 1383.1 473.33 3600.03 2.08 1397.2 395.41 3600.06 1350.31 1011.25
3600.03 2.08 1381.4 648.62 3600.03 2.24 1414.8 265.42 3600.03 1339.7 809.1
3600.08 2.02 1360.08 484.98 3600.09 19.1 1421.53 595.85 3600.03 1368.13 1221.43
3600.08 1.72 1388.67 702.02 3600.03 1.89 1400.92 507.42 3600.03 1371.91 336.49
3600.06 1.88 1333.56 946.81 3600.03 2.26 1382.42 241.17 3600.04 1340.64 694.09
3600.03 1.31 1321.43 514.29 3600.04 1.88 1377.35 321 3600.07 1310.7 500.98
3600.03 1.94 1335.62 800.81 3600.03 2.38 1406.51 393.99 3600.04 1335.35 400.68
3600.03 2.14 1350.3 850.52 3600.03 2.37 1409.99 499.77 3600.03 1360.6 700.92
3600.04 1.67 1354 520.75 3600.13 1.83 1379.61 283.02 3600.06 1341.26 827.58
3600.03 1.62 1339.18 784.58 3600.03 1.93 1396.79 340.21 3600.03 1354.44 1420.04
3600.04 1.48 1296.39 477.29 3600.04 90.39 1346.53 263.29 3600.05 1302.23 600.31
3600.03 1.95 1297.29 595.73 3600.04 32.2 1352.95 251.36 3600.03 1296.96 459.49
3600.04 1.73 1299.06 563.1 3600.03 1.99 1365.05 245.37 3600.03 1287.52 839.06
3600.03 2.28 1295.7 954.26 3600.03 2.53 1342.19 384.19 3600.03 1300.54 816.01
3600.04 2.06 1309.35 474.63 3600.03 2.44 1336.43 888.8 3600.03 1299.75 514.91
3600.03 1.88 1280.95 604.18 3600.03 2.24 1344 404.24 3600.04 1288.59 668.51
3600.03 1.65 1279.99 534.97 3600.03 2.01 1335.45 247.39 3600.03 1294.74 357.89
3600.03 1.52 1281.25 543.63 3600.06 1.68 1332.32 639.55 3600.03 1281.97 476.71
3600.04 1.99 1295.36 715.96 3600.03 11.19 1341.32 339.39 3600.05 1297.25 350.81
3600.03 1.06 1277.64 460.75 3600.03 0.82 1351.59 533.74 3600.03 1296.77 451.43
3600.03 2.09 1284.48 794.19 3600.03 87.52 1344.32 300.43 3600.03 1300.59 1012
3600.03 1.74 1286.5 486.48 3600.03 2.03 1338.31 1297.44 3600.03 1288.08 531.08
3600.03 1.61 1285.16 491.04 3600.03 1.95 1315.75 218.52 3600.03 1283.05 665.9
3600.04 2.1 1278.61 603.91 3600.03 2.6 1336.67 425.36 3600.03 1283.54 608.18
3600.07 1.65 1291.05 653.45 3600.05 1.81 1344.53 419.45 2157.36 1286.88 748.83
3600.19 1.66 1275.14 891.46 3600.04 1.93 1328.06 209.77 3600.03 1288.5 1044.32
3600.03 2.14 1282.18 485.26 3600.04 2.61 1337.13 236.58 3600.05 1283.74 724.57
3600.03 1.88 1281.55 825.12 3600.03 2.21 1330.81 549.96 3600.04 1285 648.64
3600.03 2.01 1278.22 468.63 3600.05 2.64 1335.64 334.17 3600.03 1288.68 734.22
3600.03 1.6 1276.86 470.17 3600.04 1.9 1334.82 253.13 3600.03 1292.05 523.8
3600.05 1.63 1287.13 939.64 3600.04 1.84 1335.46 353.98 3600.03 1297.18 327.62
3600.03 2.02 1274.27 789.44 3600.04 2.44 1313.77 790.68 3600.03 1286.61 473.15
3600.05 1.94 1272.59 477.16 3600.03 2.31 1327.76 322.1 3600.03 1286.79 812.81
3600.03 1.81 1272.35 747.19 3600.03 2.03 1327.33 221.02 3600.04 1284.11 853.77
3600.03 2.3 1286.31 473.24 3600.03 2.95 1338.07 384.54 3600.03 1298 574
3600.03 1.47 1269.68 589.54 3600.04 10.32 1339.97 239.54 3600.03 1288.59 549.49
3600.07 1.77 1266.59 446.42 3600.08 1.94 1333.78 470.54 2578.43 1293.18 300.3
3600.04 2.01 1279.23 510.85 3600.03 2.36 1322.84 479.91 3600.03 1284.77 792.97
3600.03 2.03 1275.25 763.5 3600.04 2.84 1341.37 517.07 3600.04 1285.38 479.92
3600.04 1.71 1275.25 660.31 3600.04 65.41 1336.25 503.68 3600.03 1291.41 299.45
3600.03 1.74 1287.08 569.18 3600.03 14.53 1351.29 339.23 3600.03 1292.7 615.28
3600.03 1.69 1285.46 447.25 3600.02 1.95 1346.22 274.22 3600.03 1287.88 636.47
3600.03 1.89 1292.12 807.5 3600.03 2.42 1329.72 876.46 3600.03 1284.96 1103.29
3600.03 1.6 1275.58 644.46 3600.03 1.75 1341.18 361.08 3600.04 1286.23 566.29
3600.03 2.28 1279.11 785.92 3600.04 2.43 1332.62 402.24 3600.04 1290.6 528.85
3600.04 1.73 1283.99 476.02 3600.05 2.51 1337.62 494.76 3600.04 1296.56 704.42
3600.04 1.54 1280.74 702.26 3600.04 1.72 1328.77 253.72 3600.04 1299.73 1032.79
3600.03 2.13 1283.72 449.29 3600.03 23.9 1339.84 231.11 3600.03 1280.53 643.67
3600.04 1.76 1267.1 467.51 3600.04 2.06 1335.55 693.21 3600.04 1280.73 1323.86
3600.03 1.66 1283.65 493.41 3600.05 2.12 1325.99 390.03 3600.03 1289.96 305.24
3600.06 2.05 1279.96 681.41 3600.04 2.52 1333.54 290.46 3600.03 1279.64 551.12
3600.03 1.18 1287.43 708.91 3600.03 1.19 1347.34 326.09 3600.03 1293.37 1028.69
3600.04 2.16 1283.04 492.4 3600.03 20.47 1331.07 484.04 3600.04 1289.02 458.93
3600.04 2.05 1275.02 901.18 3600.04 2.43 1330.02 317.41 3600.03 1289.82 870.27
3600.03 1.64 1272.31 431.09 3600.03 1.79 1322.81 401.53 3600.03 1280.32 323.89
3600.03 1.69 1272.52 490.49 3600.03 1.93 1341.66 515.64 3600.03 1286.42 454.98
3600.02 1.79 1274.59 605.6 3600.03 32.26 1324.69 516.46 3600.03 1288.13 329.28
3600.03 1.33 1279.61 917.11 3600.03 1.6 1350.97 418.93 3600.03 1285.88 319.96
3600.03 2.24 1273.3 921.71 3600.03 2.41 1324.37 776.12 3600.03 1283.67 745.29
