ccon_pred_y1 ccon_pred_y2 ccon_pred_y3 ccon_pred_y4 ucon_upred_y1 ucon_upred_y2 ucon_upred_y3 ucon_upred_y4 tcon_con_y1 tcon_con_y2 tcon_con_y3 tcon_con_y4 spe_y1 spe_y2 spe_y3 spe_y4 rel_y1 rel_y2 rel_y3 rel_y4
msst_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r1 NA NA NA NA NA NA NA NA 0.124555862613502 0.640304220949404 0.140819183087658 0.0791305125577734 0.600276352151599 0.182910960758501 0.617949904785588 0.538308447046857 0.724832214765101 0.823215181707905 0.758769087873246 0.61743895960463
msst_wide_bayes_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_bayes_r1 NA NA NA NA NA NA NA NA 0.147232632713842 0.654547193540276 0.162043647490915 0.101511835597851 0.589226683231224 0.17105357289317 0.603770685365102 0.532431873531795 0.737294397785246 0.825984836466046 0.766584445625477 0.634873183861816
cuts_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r1 0.303687635574837 0.391063357649092 0.321917548248492 0.306851955635828 0.0865706961151647 0.27061208805508 0.0322111330424875 0.209671962825864 0.390258331690002 0.661675445704172 0.354128681290979 0.516523918461692 0.412936304476435 0.170819097259203 0.448309702715097 0.299898664304309 0.803194636166437 0.832494542963375 0.802438384006076 0.816422582766001
cuts_wide_bayes_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_bayes_r1 0.307547088728696 0.393154956309828 0.328674192639895 0.309929732900532 0.09063322485804 0.277178791249628 0.0343581392529882 0.215864889947671 0.399280563318568 0.671643511288994 0.36408458309274 0.528775069964682 0.406643381120036 0.16591400104435 0.441491499344245 0.292283560880775 0.806126445027142 0.837551459170984 0.805609376338698 0.820967765514065
tso_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_long_bayes_r1 0.41477684809138 0.684150215835527 0.377710591504866 0.542341707665235 0.000305455991580633 0.000123254964902821 0.000334671110713384 0.000219122334897898 0.415122902915178 0.68431869512532 0.378133229045834 0.542602751320476 0.395779146057011 0.159334802298004 0.431399779381578 0.283646394924992 0.811269115311685 0.843743797848115 0.809606291297215 0.826225663644473
msst_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r2 NA NA NA NA NA NA NA NA 0.0794444444444445 0.678009748098036 0.105378534793838 0.0937908095039483 0.635 0.165459873247421 0.666971229314498 0.497257327151035 0.714444444444444 0.843469621345457 0.772349764108335 0.591048136654983
msst_wide_bayes_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_bayes_r2 NA NA NA NA NA NA NA NA 0.0936939946231496 0.689820246257492 0.119465432089159 0.111126492375568 0.631188222154598 0.156150990003523 0.657082348127645 0.503226894019726 0.725387117994282 0.846087808608203 0.77719850376057 0.615427405198587
cuts_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r2 0.335 0.340157552182994 0.345865660909557 0.265421446229013 0.113333333333333 0.364161069485639 0.0194573820466247 0.232379206574043 0.448333333333333 0.704318621668633 0.365323042956181 0.497800652803056 0.371111111111111 0.145374259611398 0.436838475160353 0.317410287823379 0.819444444444445 0.849692881280031 0.802161518116534 0.815210940626435
cuts_wide_bayes_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_bayes_r2 0.338517918519349 0.341251341479326 0.350411775345355 0.27072805471817 0.116625789107374 0.370216940558775 0.0231607646815177 0.236692738945731 0.456061385857773 0.714239446631134 0.374380565371861 0.509263773950546 0.365414272175169 0.1404482286212 0.430334221772947 0.310062212812914 0.822053276168955 0.854865845752097 0.805131372235386 0.819419143267394
tso_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_long_bayes_r2 0.473530485172655 0.724473468548113 0.389275909276065 0.52322610875961 9.32742025356301e-05 3.57383809236678e-05 0.000110876984788895 7.97067260858495e-05 0.473659996554283 0.724525641902857 0.38950227204452 0.523328542090258 0.35402150535948 0.135586962550567 0.4198356115883 0.301288537151412 0.827751395208297 0.860127135580649 0.809695824528744 0.824541740870319
msst_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r3 NA NA NA NA NA NA NA NA 0.0571546904120936 0.569784366978742 0.0261293130786235 0.021226321007537 0.634085732035618 0.249620831033562 0.698296801196169 0.589182162512411 0.691240422447712 0.819405198012303 0.724426114274792 0.610408483519948
msst_wide_bayes_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_bayes_r3 NA NA NA NA NA NA NA NA 0.071052963744269 0.586746408047954 0.0335250292701281 0.0304931387266727 0.632988178635231 0.233437330088582 0.698845833188183 0.594715044153766 0.704667186032339 0.820686496986961 0.732837808752996 0.625748840928691
cuts_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r3 0.304870466321244 0.250713718420338 0.251053623115455 0.322433263137021 0.0812435233160622 0.374024915723732 0.0772945888516202 0.203890332095527 0.386113989637306 0.624738634144071 0.328348211967075 0.526323595232548 0.401865284974093 0.193344101094235 0.461176954361427 0.287742969255588 0.787979274611399 0.818082735238306 0.789525166328502 0.814066564488137
cuts_wide_bayes_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_bayes_r3 0.307400325211968 0.251120099864686 0.255955127694542 0.324368476368788 0.0859751183619677 0.382349958084307 0.0808502375426736 0.210924385628087 0.394451435778819 0.636881331023084 0.337372474713067 0.538034328590838 0.396285575286532 0.187120727641652 0.454730122262992 0.280581898368766 0.791025129887805 0.823753480895695 0.792611291753959 0.818686246528828
tso_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_long_bayes_r3 0.41087216770314 0.648454381101542 0.351352710190176 0.551776449374321 2.94789205780506e-05 1.37345572184254e-05 3.41346581829427e-05 2.07245245302088e-05 0.410921150507152 0.648495545967616 0.351477418539598 0.551813508099046 0.385518901114165 0.180893445111495 0.445139826076429 0.272038814820053 0.796681236456727 0.829602124789696 0.796903977304159 0.823920704830244
msst_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
