w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 0 0.014 0.034 0.021 0.1 0.039 0.014 0.062 0.028 NA 0 0.043 0.083 0.052 0 0.08 0.156 0.098 0.107 0.085 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 0 0.014 0.034 0.021 0.1 0.039 0.014 0.062 0.028 NA 0 0.043 0.083 0.052 0 0.08 0.156 0.098 0.107 0.085 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 0 0.012 0.028 0.019 0.079 0.029 0.01 0.045 0.023 NA 0 0.074 0.134 0.097 0.096 0.051 0.097 0.072 0.13 NA 0.06 0.02 0.058 0.032 NA NA NA NA NA NA
cuts_long_ml_r1 0 0.012 0.028 0.019 0.079 0.029 0.01 0.045 0.023 NA 0 0.074 0.134 0.097 0.096 0.051 0.097 0.072 0.131 NA 0.06 0.02 0.058 0.032 NA NA NA NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r1 0 0.012 0.028 0.019 0.079 0.029 0.01 0.045 0.023 0.027 NA NA NA NA 0.095 0.052 0.097 0.072 NA NA 0.129 0.038 0.133 0.073 0.058 0.11 0.06 0.084 0.043 0.085
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r2 0 0.015 0.032 0.021 0.097 0.045 0.012 0.061 0.03 NA 0 9.01 4.16 1.503 0 16.927 7.816 2.824 0.006 0.039 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 0 0.015 0.032 0.021 0.097 0.045 0.012 0.061 0.03 NA 0 8.826 4.127 1.495 0 16.582 7.754 2.808 0.006 0.039 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 0 0.013 0.028 0.019 0.08 0.031 0.011 0.045 0.024 NA 0 0.103 0.205 0.136 0.078 0.05 0.102 0.069 0.085 NA 0.043 0.021 0.072 0.033 NA NA NA NA NA NA
cuts_long_ml_r2 0 0.013 0.028 0.019 0.08 0.031 0.011 0.045 0.024 NA 0 0.103 0.205 0.136 0.078 0.05 0.102 0.069 0.085 NA 0.043 0.021 0.072 0.033 NA NA NA NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r2 0 0.013 0.028 0.019 0.08 0.031 0.011 0.045 0.024 0.027 NA NA NA NA 0.078 0.05 0.102 0.069 NA NA 0.087 0.035 0.146 0.067 0.045 0.094 0.06 0.065 0.04 0.084
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r3 0 0.013 0.033 0.023 0.107 0.039 0.019 0.071 0.039 NA 0 0.085 0.127 0.122 0 0.168 0.252 0.241 0.081 0.067 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 0 0.013 0.033 0.023 0.106 0.039 0.019 0.071 0.038 NA 0 0.083 0.127 0.122 0 0.164 0.25 0.242 0.081 0.067 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
