w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 0 0.007 0.018 0.013 0.037 0.016 0.007 0.024 0.013 NA 0 0.026 0.033 0.023 0 0.054 0.068 0.048 0.077 0.072 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 0 0.008 0.017 0.012 0.031 0.014 0.006 0.022 0.012 NA 0 0.017 0.029 0.021 0 0.036 0.061 0.043 0.094 0.081 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 0 0.007 0.015 0.01 0.027 0.012 0.004 0.018 0.01 NA 0 0.061 0.103 0.076 0.084 0.057 0.123 0.08 0.117 NA 0.031 0.023 0.055 0.033 NA NA NA NA NA NA
cuts_long_bayes_r1 0 0.007 0.015 0.01 0.027 0.012 0.004 0.019 0.01 NA 0 0.059 0.105 0.074 0.089 0.061 0.13 0.083 0.121 NA 0.031 0.023 0.055 0.032 NA NA NA NA NA NA
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 0 0.007 0.015 0.01 0.027 0.012 0.004 0.018 0.01 0.012 NA NA NA NA 0.087 0.059 0.127 0.081 NA NA 0.131 0.058 0.27 0.112 0.076 0.174 0.111 0.108 0.068 0.158
tso_long_bayes_r1 0 0.007 0.015 0.01 0.027 0.012 0.004 0.019 0.01 0.012 NA NA NA NA 0.09 0.062 0.125 0.078 NA NA 0.132 0.059 0.275 0.112 0.077 0.177 0.112 0.108 0.068 0.159
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 0 0.009 0.022 0.013 0.037 0.017 0.006 0.027 0.013 NA 0 0.016 0.026 0.019 0 0.035 0.055 0.04 0.116 0.09 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 0 0.008 0.019 0.012 0.031 0.015 0.005 0.024 0.012 NA 0 0.013 0.023 0.018 0 0.029 0.05 0.038 0.13 0.095 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 0 0.007 0.015 0.01 0.027 0.013 0.005 0.019 0.01 NA 0 0.052 0.094 0.071 0.093 0.056 0.116 0.082 0.152 NA 0.04 0.02 0.06 0.037 NA NA NA NA NA NA
cuts_long_bayes_r2 0 0.007 0.015 0.01 0.027 0.013 0.005 0.019 0.01 NA 0 0.05 0.091 0.069 0.101 0.06 0.124 0.088 0.154 NA 0.04 0.02 0.06 0.038 NA NA NA NA NA NA
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 0 0.007 0.015 0.01 0.027 0.013 0.005 0.019 0.01 0.012 NA NA NA NA 0.098 0.058 0.122 0.085 NA NA 0.166 0.057 0.249 0.124 0.085 0.187 0.107 0.13 0.074 0.156
tso_long_bayes_r2 0 0.007 0.015 0.01 0.027 0.013 0.005 0.019 0.01 0.012 NA NA NA NA 0.1 0.059 0.12 0.083 NA NA 0.167 0.058 0.251 0.125 0.086 0.188 0.107 0.13 0.073 0.157
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 0 0.009 0.021 0.013 0.033 0.016 0.006 0.024 0.012 NA 0 0.01 0.022 0.016 0 0.021 0.048 0.035 0.148 0.102 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 0 0.008 0.018 0.012 0.03 0.015 0.005 0.023 0.011 NA 0 0.01 0.022 0.015 0 0.022 0.048 0.034 0.152 0.102 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
