"Cond_1" "Cond_2" "Cond_3" "Cond_4" "Cond_5" "Cond_6" "Cond_7" "Cond_8" "Cond_9" "Cond_10" "Cond_11" "Cond_12" "Cond_13" "Cond_14" "Cond_15" "Cond_16" "Cond_17" "Cond_18"
12 13 12 16 11 16 20 14 11 17 18 15 22 15 22 21 19 19
13 15 18 11 12 10 15 11 12 11 14 15 24 24 26 21 16 21
12 15 13 8 12 11 10 14 17 10 21 14 19 24 17 23 25 14
11 11 10 15 20 14 14 23 11 12 15 14 22 13 23 28 20 16
9 12 10 16 12 19 11 13 7 17 15 14 23 15 22 21 26 22
11 16 14 12 13 11 14 11 15 9 17 20 14 24 25 20 14 24
9 19 10 21 19 22 9 15 19 20 17 18 24 17 19 24 20 21
13 7 12 12 12 13 12 15 15 16 14 14 18 18 26 28 19 21
11 14 14 15 15 9 11 11 14 11 10 10 23 17 16 17 22 21
12 9 11 13 18 14 13 11 14 5 11 10 21 18 17 23 15 30
16 15 18 8 16 6 14 12 16 14 16 11 19 15 30 19 20 26
9 16 13 11 10 12 14 13 14 16 11 17 24 19 19 22 26 20
12 11 14 11 9 7 9 11 15 13 13 14 28 17 28 26 8 21
10 10 15 12 14 14 12 13 15 4 12 17 26 18 21 21 25 13
15 14 5 18 14 11 10 10 11 14 15 11 24 23 23 19 23 22
13 17 9 12 16 13 16 16 15 15 17 21 21 18 19 16 24 28
12 16 9 16 16 21 16 11 15 13 8 18 22 19 28 20 18 21
13 14 18 13 13 10 11 11 14 16 17 12 25 28 29 22 21 12
10 13 11 13 11 15 9 13 16 10 14 17 24 13 21 27 18 24
11 10 15 11 13 12 12 6 18 13 17 16 19 19 25 22 19 23
10 12 10 15 16 9 6 13 10 13 13 11 25 16 24 15 19 25
13 12 12 8 15 14 9 13 11 9 12 14 22 26 25 25 22 16
14 11 13 10 15 17 11 14 13 11 12 16 25 16 19 18 17 20
9 5 16 14 9 8 8 9 8 13 12 12 20 21 17 26 22 24
10 9 9 13 14 14 7 20 15 14 18 5 18 18 16 25 26 24
13 17 8 6 16 13 19 12 13 8 13 12 24 23 23 23 22 20
7 10 10 11 18 13 10 5 12 10 12 13 19 25 17 23 19 22
18 13 15 15 13 16 11 10 15 8 6 8 21 12 25 24 21 19
18 18 16 10 14 9 17 19 15 12 17 11 24 24 33 20 19 23
17 11 15 13 16 14 17 14 13 10 12 10 21 23 25 25 13 21
12 9 20 9 13 10 11 16 14 16 18 13 23 20 27 21 15 23
11 11 13 17 9 14 6 16 16 14 7 12 22 26 31 23 28 23
7 9 13 9 11 14 10 8 8 15 13 11 26 27 23 20 18 23
11 17 15 11 18 9 12 15 9 9 17 11 20 25 23 24 19 14
18 18 15 9 13 7 10 13 14 12 8 12 23 15 26 27 26 25
15 15 12 7 15 19 8 11 21 13 9 16 22 22 16 20 27 21
15 12 14 12 12 20 9 12 12 12 15 19 22 23 26 24 20 24
