msst_wide_ml msst_long_ml msst_wide_bayes msst_long_bayes cuts_wide_ml cuts_long_ml cuts_wide_bayes cuts_long_bayes tso_wide_ml tso_wide_bayes tso_long_bayes
213.91 1.37 NA NA 243.41 0.74 NA NA 238.34 NA NA
207.08 0.99 NA NA 204.98 0.72 NA NA 228.87 NA NA
323.71 0.71 NA NA 333.61 0.94 NA NA 298.66 NA NA
135.91 0.96 NA NA 155.5 0.79 NA NA 151.79 NA NA
404.14 0.91 NA NA 397.15 0.58 NA NA 361.74 NA NA
275.49 1.03 NA NA 247.14 0.53 NA NA 256.06 NA NA
378.7 1.11 NA NA 369.59 1.29 NA NA 367.42 NA NA
169.37 1.3 NA NA 186.75 0.63 NA NA 178.72 NA NA
280.38 0.69 NA NA 273.32 1.13 NA NA 289.57 NA NA
206.07 1.1 NA NA 202.46 0.86 NA NA 219.79 NA NA
190.96 0.92 NA NA 190.69 1.01 NA NA 222 NA NA
143.58 0.88 NA NA 139.87 0.88 NA NA 158.8 NA NA
183.39 0.79 NA NA 170.49 0.86 NA NA 178.74 NA NA
178.76 0.93 NA NA 199.7 1.25 NA NA 194.98 NA NA
417.76 0.57 NA NA 410.65 0.65 NA NA 404.82 NA NA
173.85 1.25 NA NA 155.91 0.88 NA NA 173.03 NA NA
279.61 0.92 NA NA 246.54 1.15 NA NA 247.8 NA NA
301.53 0.64 NA NA 328.63 0.84 NA NA 301.04 NA NA
226.41 0.9 NA NA 198.12 0.93 NA NA 226.18 NA NA
170.89 1.43 NA NA 153.61 0.93 NA NA 153.46 NA NA
163.01 1.53 NA NA 157.82 1.44 NA NA 155.25 NA NA
15.52 1.08 NA NA 12.82 1.04 NA NA 16.13 NA NA
328.41 1.28 NA NA 330.59 1.54 NA NA 320.93 NA NA
219.18 1.24 NA NA 222.78 0.91 NA NA 202.08 NA NA
266.53 1.63 NA NA 240.29 1.43 NA NA 273.59 NA NA
149.16 1.06 NA NA 161.42 1.06 NA NA 165.07 NA NA
256.96 1.01 NA NA 255.28 0.73 NA NA 262.81 NA NA
254.71 1.24 NA NA 230.36 0.88 NA NA 264.95 NA NA
182.1 1.08 NA NA 176.13 1.06 NA NA 178.83 NA NA
186.01 1.2 NA NA 167.04 1.17 NA NA 186.69 NA NA
290.6 1.46 NA NA 294.07 1 NA NA 302.98 NA NA
385.39 1.34 NA NA 386.4 0.87 NA NA 393.43 NA NA
97.83 0.96 NA NA 90.69 0.56 NA NA 99.02 NA NA
285.37 1.11 NA NA 283.62 1.12 NA NA 330.67 NA NA
168.62 2.04 NA NA 186.57 1.03 NA NA 186.65 NA NA
221.7 1.21 NA NA 242.41 1.13 NA NA 258.85 NA NA
282.65 0.91 NA NA 304.93 1 NA NA 298.38 NA NA
267.34 0.96 NA NA 265.04 0.98 NA NA 299.17 NA NA
190.48 0.96 NA NA 190.7 1.26 NA NA 218.36 NA NA
187.41 1.28 NA NA 176.73 1.5 NA NA 207.33 NA NA
114.56 0.98 NA NA 115.71 0.68 NA NA 130.34 NA NA
202.05 1.16 NA NA 218.27 1 NA NA 214.2 NA NA
211.78 1.17 NA NA 229.04 1.63 NA NA 204.52 NA NA
138.15 1.65 NA NA 142.13 2.16 NA NA 156.36 NA NA
220.28 1.23 NA NA 243.42 0.99 NA NA 222.15 NA NA
276.45 1.32 NA NA 260.34 0.87 NA NA 273.96 NA NA
195.66 1.63 NA NA 198.32 1.27 NA NA 200.95 NA NA
129.23 1.37 NA NA 108.5 1.21 NA NA 114.68 NA NA
249.48 1.43 NA NA 239.25 1.72 NA NA 269.65 NA NA
291.22 1.34 NA NA 309.78 1.81 NA NA 300.7 NA NA
257.45 1.02 NA NA 233.29 0.96 NA NA 270.6 NA NA
215.61 1.44 NA NA 217.09 1.5 NA NA 259.76 NA NA
170.78 1.57 NA NA 160.48 1.72 NA NA 198.31 NA NA
11.64 1.66 NA NA 11.01 1.82 NA NA 26.93 NA NA
278.97 0.99 NA NA 275.54 0.92 NA NA 313.96 NA NA
419.06 1.19 NA NA 370.83 0.8 NA NA 418.7 NA NA
225.36 1.13 NA NA 264.19 0.48 NA NA 229.44 NA NA
314.16 1.11 NA NA 318.5 0.85 NA NA 329.86 NA NA
105.97 0.94 NA NA 98.97 0.84 NA NA 123.16 NA NA
16.21 1.09 NA NA 14.21 0.84 NA NA 14.8 NA NA
154.73 0.64 NA NA 189.46 0.87 NA NA 165.27 NA NA
316.43 0.86 NA NA 286.53 1.04 NA NA 332.78 NA NA
270.6 0.96 NA NA 222.19 1.26 NA NA 227.48 NA NA
151.75 1.24 NA NA 121.51 1.31 NA NA 134.15 NA NA
153.21 1.55 NA NA 150.82 1.62 NA NA 179.21 NA NA
152.39 1.04 NA NA 147.32 0.9 NA NA 162.9 NA NA
17.04 0.96 NA NA 18.32 0.79 NA NA 19.19 NA NA
159.77 1.14 NA NA 180.61 0.97 NA NA 184.83 NA NA
214.34 0.64 NA NA 234.98 0.86 NA NA 217.7 NA NA
168.18 1.29 NA NA 184.11 1.2 NA NA 179.54 NA NA
250.65 1.21 NA NA 267.21 0.82 NA NA 228.35 NA NA
102.68 1.88 NA NA 104.59 1.38 NA NA 113.07 NA NA
200.01 1.39 NA NA 206.2 0.97 NA NA 209.56 NA NA
149.25 1.77 NA NA 177.48 1.74 NA NA 175.05 NA NA
187.33 1.6 NA NA 187.28 1.42 NA NA 163.71 NA NA
291.16 0.93 NA NA 242.92 1.06 NA NA 317.14 NA NA
31.18 0.74 NA NA 31.71 0.94 NA NA 41.34 NA NA
252.7 0.9 NA NA 254.42 0.94 NA NA 284.74 NA NA
192.95 1.76 NA NA 173.49 1.69 NA NA 230.78 NA NA
430.67 1.74 NA NA 376.39 1.52 NA NA 403.42 NA NA
204.39 1.09 NA NA 178.54 1.08 NA NA 229.46 NA NA
219.46 1.14 NA NA 196.4 1.43 NA NA 254.34 NA NA
231.92 1.53 NA NA 246.9 1.58 NA NA 253.84 NA NA
275.03 1.05 NA NA 309.11 0.69 NA NA 271.4 NA NA
172.66 0.96 NA NA 222.16 0.9 NA NA 220.08 NA NA
254.31 0.62 NA NA 289.43 1.03 NA NA 258.19 NA NA
200.9 1.35 NA NA 236.91 0.92 NA NA 205.1 NA NA
252.53 1.46 NA NA 205.4 1.42 NA NA 231.76 NA NA
158.62 1.42 NA NA 176.29 1.42 NA NA 166.76 NA NA
281.06 0.9 NA NA 339.97 0.89 NA NA 307.43 NA NA
275.19 1.25 NA NA 266.34 1.4 NA NA 241.95 NA NA
273.75 1.18 NA NA 205.48 0.88 NA NA 207.28 NA NA
430.12 1.06 NA NA 361.41 0.86 NA NA 363.23 NA NA
265.06 1.01 NA NA 283.68 1.07 NA NA 258.32 NA NA
252.23 0.97 NA NA 270.76 1.1 NA NA 274.15 NA NA
233.68 1.7 NA NA 242.3 1.29 NA NA 240.66 NA NA
164.31 1.1 NA NA 151.99 1.19 NA NA 153.54 NA NA
