"msst_wide_ml" "msst_long_ml" "msst_wide_bayes" "msst_long_bayes" "cuts_wide_ml" "cuts_long_ml" "cuts_wide_bayes" "cuts_long_bayes" "tso_wide_ml" "tso_wide_bayes" "tso_long_bayes"
NA 0.65 NA 475.06 NA 0.39 NA 199.39 NA NA 380.44
NA 0.68 NA 464.47 NA 0.37 NA 205.4 NA NA 378.49
NA 0.7 NA 467.75 NA 0.38 NA 200.37 NA NA 389.61
NA 0.67 NA 468.62 NA 0.38 NA 205.44 NA NA 357.63
NA 0.65 NA 470.59 NA 0.39 NA 199.95 NA NA 378.65
NA 0.62 NA 471.03 NA 0.37 NA 201.15 NA NA 380.98
NA 0.7 NA 543.54 NA 0.36 NA 204.97 NA NA 385.48
NA 0.69 NA 470.09 NA 0.37 NA 207.02 NA NA 396.09
NA 0.69 NA 476.46 NA 0.4 NA 213.06 NA NA 388.98
NA 0.7 NA 475.2 NA 0.56 NA 211.51 NA NA 407.56
NA 0.69 NA 482.56 NA 0.42 NA 209.72 NA NA 385.59
NA 0.58 NA 485.67 NA 0.37 NA 214.5 NA NA 390.99
NA 0.58 NA 480.88 NA 0.4 NA 204 NA NA 378.84
NA 0.69 NA 470.1 NA 0.38 NA 197.37 NA NA 389.34
NA 0.7 NA 469.18 NA 0.37 NA 199.47 NA NA 390.8
NA 0.69 NA 471.29 NA 0.38 NA 201.9 NA NA 377.88
NA 0.7 NA 468.25 NA 0.38 NA 206.95 NA NA 379.85
NA 0.64 NA 472.54 NA 0.38 NA 205 NA NA 379.83
NA 0.58 NA 466.95 NA 0.38 NA 200.13 NA NA 397.71
NA 0.66 NA 468.12 NA 0.38 NA 204.93 NA NA 384.45
NA 0.7 NA 463.92 NA 0.37 NA 205.68 NA NA 389.31
NA 0.6 NA 468.54 NA 0.36 NA 199.13 NA NA 370.19
NA 0.7 NA 465.69 NA 0.41 NA 199.17 NA NA 381.38
NA 0.54 NA 467.94 NA 0.37 NA 200.51 NA NA 360.66
NA 0.56 NA 468.41 NA 0.37 NA 202.35 NA NA 390.13
NA 0.71 NA 464 NA 0.37 NA 198.57 NA NA 381.92
NA 0.72 NA 608.9 NA 0.38 NA 200.41 NA NA 368.22
NA 0.7 NA 468.55 NA 0.37 NA 201.1 NA NA 382.39
NA 0.68 NA 465.67 NA 0.37 NA 203.37 NA NA 358.02
NA 0.69 NA 466.73 NA 0.37 NA 200.93 NA NA 373.67
NA 0.61 NA 463.51 NA 0.38 NA 199.18 NA NA 401.28
NA 0.7 NA 463.36 NA 0.39 NA 208.48 NA NA 368.53
NA 0.59 NA 465.36 NA 0.38 NA 204.36 NA NA 361.32
NA 0.63 NA 464.51 NA 0.37 NA 199.54 NA NA 388.91
NA 0.69 NA 457.49 NA 0.39 NA 202.39 NA NA 358
NA 0.57 NA 468.05 NA 0.37 NA 208.17 NA NA 389.9
NA 0.71 NA 474.49 NA 0.39 NA 199.4 NA NA 373.17
NA 0.7 NA 659.93 NA 0.37 NA 204.83 NA NA 373.59
NA 0.62 NA 465.48 NA 0.37 NA 199.1 NA NA 379.82
NA 0.74 NA 470.63 NA 0.37 NA 207.4 NA NA 372.04
NA 0.56 NA 478.13 NA 0.37 NA 198.9 NA NA 402.33
NA 0.68 NA 467.21 NA 0.37 NA 199.7 NA NA 393.9
NA 0.58 NA 466.97 NA 0.41 NA 200.48 NA NA 384.55
NA 0.68 NA 470.24 NA 0.38 NA 208.85 NA NA 379.69
NA 0.61 NA 468.11 NA 0.38 NA 200.27 NA NA 403.14
NA 0.7 NA 472.41 NA 0.37 NA 201.3 NA NA 393.75
NA 0.58 NA 473.72 NA 0.36 NA 199.24 NA NA 389.43
NA 0.7 NA 474.3 NA 0.38 NA 202.67 NA NA 383.09
NA 0.56 NA 466.63 NA 0.38 NA 200.78 NA NA 400.41
NA 0.7 NA 471.38 NA 0.39 NA 200.65 NA NA 388.47
