msst_wide_ml msst_long_ml msst_wide_bayes msst_long_bayes cuts_wide_ml cuts_long_ml cuts_wide_bayes cuts_long_bayes tso_wide_ml tso_wide_bayes tso_long_bayes
NA NA 36.16 87 NA NA 48.82 52.66 NA 44.72 177.17
NA NA 38.81 87.33 NA NA 49.85 56.09 NA 43.98 96.7
NA NA 37.03 117.82 NA NA 45.25 56.68 NA 44.37 149.38
NA NA 35.2 88.13 NA NA 47.19 51.24 NA 42.57 83.43
NA NA 38.42 95.94 NA NA 44.9 41.25 NA 40.91 91.2
NA NA 34.62 93.96 NA NA 44.39 38.27 NA 40.26 83.88
NA NA 35.14 92.09 NA NA 46.81 39.69 NA 42.89 84.46
NA NA 35.44 90.68 NA NA 45.24 52.23 NA 43.22 71.93
NA NA 34.32 96.18 NA NA 48.04 49.21 NA 44.65 87.29
NA NA 37.86 101.11 NA NA 46.29 50.72 NA 39.78 79.55
NA NA 37.67 76.3 NA NA 48.51 57.71 NA 43.39 93.59
NA NA 37.92 87.57 NA NA 46.85 42.59 NA 44.35 98.7
NA NA 35.5 75.44 NA NA 50.8 55.4 NA 42.78 77.72
NA NA 36.13 96.52 NA NA 46.94 55.67 NA 40.41 218.88
NA NA 37.82 101.44 NA NA 49.1 55.59 NA 42.67 115.12
NA NA 36.99 105.21 NA NA 47.89 51.9 NA 43.04 72.55
NA NA 37.54 76.36 NA NA 48.86 54.84 NA 42.72 182.81
NA NA 37.74 78.58 NA NA 47.35 53.79 NA 42.29 159.29
NA NA 37.44 94.29 NA NA 47.66 43.04 NA 41.13 76.86
NA NA 38.18 102.79 NA NA 45.54 55.64 NA 41.07 104.57
NA NA 37.33 76.26 NA NA 47.49 39.53 NA 40.41 70.7
NA NA 35.01 94.93 NA NA 48.31 52.05 NA 45.45 79.89
NA NA 37.28 89.78 NA NA 47.15 51.78 NA 41.72 133.44
NA NA 36.25 102.38 NA NA 46.87 52.71 NA 40.41 62.29
NA NA 34.59 85.95 NA NA 44.52 52.42 NA 41.05 70.84
NA NA 34.84 77.11 NA NA 48.96 37.98 NA 41.44 64.14
NA NA 37.77 100.79 NA NA 44.7 38.92 NA 42.39 70.6
NA NA 37.41 94.73 NA NA 45.8 38.79 NA 41.29 63.04
NA NA 34.92 97.71 NA NA 46.78 60.11 NA 42.6 61.57
NA NA 37.29 94.43 NA NA 46.07 50.32 NA 43.2 79.79
NA NA 34.97 80.41 NA NA 45.66 53.17 NA 41.85 112.94
NA NA 33.92 98.66 NA NA 45.91 52.36 NA 40.92 85.41
NA NA 37.67 81.56 NA NA 44.58 44.4 NA 41.06 79.78
NA NA 36.06 84.58 NA NA 46.87 44.88 NA 40.92 87.42
NA NA 36.91 75.64 NA NA 45.38 47.46 NA 42.11 312.95
NA NA 36.66 84.9 NA NA 47.42 45.75 NA 41.85 227.55
NA NA 35.6 76 NA NA 46.08 54.27 NA 43.23 68.23
NA NA 36.16 94.34 NA NA 43.93 49.19 NA 42.69 131.86
NA NA 38.42 96.28 NA NA 46.95 38.16 NA 40.15 61.97
NA NA 36.85 99.57 NA NA 45.17 40.14 NA 42.69 86.95
NA NA 34.54 74.78 NA NA 47.49 40.82 NA 42.75 82.91
NA NA 36.45 74.37 NA NA 43.99 37.73 NA 42.27 78.11
NA NA 35.87 97.12 NA NA 45.68 53.33 NA 42.58 73.02
NA NA 37.09 77.23 NA NA 46.02 52.49 NA 43.6 365.98
NA NA 34.22 91.86 NA NA 45.09 56.62 NA 44.27 78.98
NA NA 36.92 97.25 NA NA 47.75 56.85 NA 42.7 207.92
NA NA 37.08 91.66 NA NA 48.12 52.74 NA 42.68 71.87
NA NA 36.97 89.27 NA NA 47.07 55.74 NA 44.16 105.02
NA NA 35.42 99.89 NA NA 48.35 44.15 NA 41.59 90.19
NA NA 35.76 95.91 NA NA 49.01 56.15 NA 42.19 82.21
NA NA 33.99 93.83 NA NA 44.73 54.47 NA 41.3 76.17
NA NA 34.94 83.42 NA NA 44.47 39.19 NA 43.8 149.32
NA NA 37.22 78.57 NA NA 48.12 48.58 NA 41.92 176.73
NA NA 36.99 99.21 NA NA 45.98 40.83 NA 41.18 99.37
NA NA 37.52 96.57 NA NA 47.71 49.69 NA 40.44 144.76
NA NA 37.2 93.93 NA NA 48.26 41.94 NA 41.25 61.52
NA NA 34.3 98.41 NA NA 47.87 52.17 NA 42.33 156.09
NA NA 38.4 95.24 NA NA 47.41 54.58 NA 41.37 62.61
NA NA 37.3 77.39 NA NA 44.8 41 NA 42.03 76.65
NA NA 38.08 97.02 NA NA 45.26 51.77 NA 44.28 63.29
NA NA 36.03 94.75 NA NA 48.61 40 NA 40.05 91.87
NA NA 35.64 96.54 NA NA 47.57 46.34 NA 41.26 83.62
NA NA 38.42 90.17 NA NA 44.67 41.95 NA 41.34 72.18
NA NA 34.81 74.22 NA NA 48.23 46.68 NA 44.51 154.24
NA NA 38.56 86.38 NA NA 45.5 38.32 NA 43.12 63.58
NA NA 34.13 91.59 NA NA 47.87 55.75 NA 44.31 138.62
NA NA 37.35 91.51 NA NA 47.97 46.98 NA 42.55 117.15
NA NA 36.73 73.5 NA NA 45.51 51.48 NA 40.74 126.54
NA NA 38.05 91.42 NA NA 44.18 55.71 NA 40.74 153.5
NA NA 34.71 89.74 NA NA 44.36 37.63 NA 43.8 71.72
NA NA 35.68 77.51 NA NA 48.17 48.04 NA 44.58 131.94
NA NA 37.99 103.31 NA NA 49.15 53.8 NA 43.56 72.4
NA NA 35.45 96.35 NA NA 47.33 53.92 NA 43.57 130.27
NA NA 33.79 93.91 NA NA 44.77 52.06 NA 40.51 69.77
NA NA 37.33 93.53 NA NA 49.84 55.5 NA 43.67 93.08
NA NA 37.13 89.68 NA NA 44.75 51.76 NA 40.45 89.24
NA NA 38.1 81.9 NA NA 47.51 41.7 NA 44.42 91.64
NA NA 37.33 74.15 NA NA 45.21 50.46 NA 43.45 88.97
NA NA 37.5 77.48 NA NA 46.38 53.77 NA 41.96 82.86
NA NA 37.12 103.24 NA NA 47.49 39.54 NA 41.43 147.01
NA NA 35.34 84.09 NA NA 46.75 50.69 NA 43.04 163.43
NA NA 38.03 91.44 NA NA 44.05 53.39 NA 44.58 154.84
NA NA 36.5 78.49 NA NA 46.15 50.04 NA 43.14 114.29
NA NA 36.15 99.89 NA NA 46.75 55.43 NA 44.07 213.34
NA NA 38 94.79 NA NA 46.21 53.77 NA 40.16 172.35
NA NA 37.55 92.98 NA NA 46.96 41.73 NA 42.73 202.65
NA NA 36.9 91.55 NA NA 46.92 54.14 NA 41.55 157.79
NA NA 35.76 89.91 NA NA 44.17 51.88 NA 42.37 73.44
NA NA 37.47 85.71 NA NA 47.08 56.94 NA 42.38 70.13
NA NA 36.24 95.63 NA NA 47.69 53.02 NA 40.12 96.79
NA NA 38.32 96.45 NA NA 47.45 51.04 NA 40.78 119.24
NA NA 37.13 81.2 NA NA 46.33 54.14 NA 43.34 108.84
NA NA 34.64 75.74 NA NA 45.11 52.7 NA 41.04 71.7
NA NA 35.82 98.12 NA NA 44.5 50.17 NA 40.77 85.11
NA NA 33.8 83.6 NA NA 44.62 44.12 NA 43.48 191.23
NA NA 36 84.07 NA NA 46.08 38.3 NA 40.14 153.98
NA NA 37.42 93.78 NA NA 45.06 40.52 NA 42.62 73.23
NA NA 36.15 96.13 NA NA 48.31 37.43 NA 40.41 88.79
NA NA 37.18 92.91 NA NA 47.55 38.92 NA 43.16 88.57
NA NA 37.14 99.71 NA NA 47.15 46.37 NA 42.65 131.09
