ccon_pred_y1 ccon_pred_y2 ccon_pred_y3 ccon_pred_y4 ucon_upred_y1 ucon_upred_y2 ucon_upred_y3 ucon_upred_y4 tcon_con_y1 tcon_con_y2 tcon_con_y3 tcon_con_y4 spe_y1 spe_y2 spe_y3 spe_y4 rel_y1 rel_y2 rel_y3 rel_y4
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_bayes_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 0.121465886075725 0.0534365377631046 0.14047782571476 0.108758665450786 0.0593525742200645 0.147211865585512 0.0571747633510836 0.0906101862928618 0.181630337710704 0.203542959773999 0.198828459160372 0.200872866387786 0.586622224449581 0.523139545883425 0.626118044010009 0.557655280602542 0.770334759205156 0.727958099902666 0.826542537276322 0.759545157843759
cuts_long_bayes_r1 0.120997423479407 0.0539466446500905 0.141350874073387 0.109163170877102 0.0594824267523496 0.146831290655344 0.0575156145719469 0.0904592672577249 0.181301675177704 0.203808439476433 0.199435633148878 0.200932258044992 0.587083614064854 0.522618261456137 0.625770504235732 0.55718287988353 0.769906023016839 0.727647199849642 0.826528539357794 0.759894269470788
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 0.201201674174961 0.217357666115198 0.217875133107849 0.21768524109305 0.000458175860350186 0.000417145799206058 0.000492158299846196 0.000440781830630769 0.2022526317614 0.218250575297224 0.21891436262593 0.218609600428796 0.571890850595341 0.512494801711068 0.609849565754807 0.54400882257556 0.775234511315749 0.732206009596488 0.829974805946804 0.764390504868994
tso_long_bayes_r1 0.201367829248106 0.216324074787691 0.217723579775689 0.21725563360953 0.000479386587638305 0.000430556205556367 0.000513395291441524 0.000458589676835574 0.202324356128406 0.217147737293873 0.218706201476708 0.21815524466729 0.571975938331911 0.512860303155333 0.609798448776549 0.544365323772353 0.775526130200693 0.731135187092485 0.830037598596465 0.764026490347378
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_bayes_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 0.0769721565278699 0.12540920158955 0.123672192793989 0.14059431153074 0.0780485530250482 0.127143002018344 0.054216358885938 0.0777902037136795 0.156687783967054 0.254663214211272 0.178317722135358 0.219339545567787 0.632543280128464 0.481593824964157 0.644983731983177 0.529847552712395 0.790826084204599 0.737099243852618 0.824780370333148 0.750432944541708
cuts_long_bayes_r2 0.0769142472771407 0.125069156594116 0.123060387163349 0.141061788240364 0.0775885578881469 0.126742219479979 0.0542442891847775 0.0775251095568349 0.156029914335427 0.253831271787954 0.178672858450762 0.219416297252884 0.632739890326547 0.481237259809315 0.645016277648461 0.529638193063375 0.790253062402765 0.736669687817596 0.824657130287826 0.749769273190205
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 0.176493525014271 0.270678198846848 0.195435363880821 0.233770454790221 0.000277112145830376 0.000211372456582999 0.000284619865338022 0.000234224302546655 0.177102812132004 0.271179999523273 0.196101319312952 0.234291464744281 0.617170178302027 0.470500550647363 0.631249433572235 0.51901403537205 0.795438740081363 0.742967436451777 0.828390394372814 0.755126750447771
