AIC BIC aBIC DIC
msst_wide_ml_r1 -999 -999 -999 -999
msst_long_ml_r1 35445.933 35542.035 35491.196 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 35160.675
cuts_wide_ml_r1 -999 -999 -999 -999
cuts_long_ml_r1 35453.235 35573.362 35509.815 NA
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 35166.192
tso_wide_ml_r1 -999 -999 -999 -999
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 31717.119
msst_wide_ml_r2 -999 -999 -999 -999
msst_long_ml_r2 35974.834 36070.92 36020.082 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 35717.634
cuts_wide_ml_r2 -999 -999 -999 -999
cuts_long_ml_r2 -999 -999 -999 -999
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 35725.911
tso_wide_ml_r2 -999 -999 -999 -999
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 32361.256
msst_wide_ml_r3 -999 -999 -999 -999
msst_long_ml_r3 35762.173 35858.275 35807.437 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 35521.878
cuts_wide_ml_r3 -999 -999 -999 -999
cuts_long_ml_r3 35770.611 35890.738 35827.191 NA
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 35531.723
tso_wide_ml_r3 -999 -999 -999 -999
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 32080.635
msst_wide_ml_r4 -999 -999 -999 -999
msst_long_ml_r4 35640.008 35736.11 35685.272 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 35366.325
cuts_wide_ml_r4 -999 -999 -999 -999
cuts_long_ml_r4 35648.516 35768.643 35705.095 NA
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 35377.363
tso_wide_ml_r4 -999 -999 -999 -999
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 32015.879
msst_wide_ml_r5 35951.977 35993.66 35943.128 NA
msst_long_ml_r5 35952.067 36048.164 35997.325 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 35668.167
cuts_wide_ml_r5 -999 -999 -999 -999
cuts_long_ml_r5 35960.456 36080.577 36017.029 NA
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 35675.64
tso_wide_ml_r5 -999 -999 -999 -999
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 32356.832
msst_wide_ml_r6 -999 -999 -999 -999
msst_long_ml_r6 35661.562 35757.664 35706.826 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 35392.71
cuts_wide_ml_r6 -999 -999 -999 -999
cuts_long_ml_r6 35667.512 35787.639 35724.092 NA
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 35396.459
tso_wide_ml_r6 -999 -999 -999 -999
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 31961.59
msst_wide_ml_r7 -999 -999 -999 -999
msst_long_ml_r7 35391.896 35487.998 35437.159 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 35114.604
cuts_wide_ml_r7 -999 -999 -999 -999
cuts_long_ml_r7 35399.352 35519.479 35455.931 NA
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 35121.269
tso_wide_ml_r7 -999 -999 -999 -999
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 31767.321
msst_wide_ml_r8 -999 -999 -999 -999
msst_long_ml_r8 35404.137 35500.238 35449.4 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 35121.973
cuts_wide_ml_r8 -999 -999 -999 -999
cuts_long_ml_r8 -999 -999 -999 -999
cuts_wide_bayes_r8 NA NA NA NA
cuts_long_bayes_r8 NA NA NA 35128.408
tso_wide_ml_r8 -999 -999 -999 -999
tso_wide_bayes_r8 NA NA NA NA
tso_long_bayes_r8 NA NA NA 31743.321
msst_wide_ml_r9 -999 -999 -999 -999
msst_long_ml_r9 35320.839 35416.94 35366.102 NA
msst_wide_bayes_r9 NA NA NA NA
msst_long_bayes_r9 NA NA NA 35041.893
cuts_wide_ml_r9 -999 -999 -999 -999
cuts_long_ml_r9 -999 -999 -999 -999
cuts_wide_bayes_r9 NA NA NA NA
cuts_long_bayes_r9 NA NA NA 35050.037
tso_wide_ml_r9 -999 -999 -999 -999
tso_wide_bayes_r9 NA NA NA NA
tso_long_bayes_r9 NA NA NA 31726.385
msst_wide_ml_r10 -999 -999 -999 -999
msst_long_ml_r10 35509.968 35606.07 35555.232 NA
msst_wide_bayes_r10 NA NA NA NA
msst_long_bayes_r10 NA NA NA 35247.193
cuts_wide_ml_r10 -999 -999 -999 -999
cuts_long_ml_r10 35518.468 35638.595 35575.047 NA
cuts_wide_bayes_r10 NA NA NA NA
cuts_long_bayes_r10 NA NA NA 35256.34
tso_wide_ml_r10 -999 -999 -999 -999
tso_wide_bayes_r10 NA NA NA NA
tso_long_bayes_r10 NA NA NA 31837.757
msst_wide_ml_r11 -999 -999 -999 -999
msst_long_ml_r11 35157.075 35253.172 35202.334 NA
msst_wide_bayes_r11 NA NA NA NA
msst_long_bayes_r11 NA NA NA 34909.067
cuts_wide_ml_r11 -999 -999 -999 -999
cuts_long_ml_r11 35165.515 35285.636 35222.088 NA
cuts_wide_bayes_r11 NA NA NA NA
cuts_long_bayes_r11 NA NA NA 34915.987
tso_wide_ml_r11 -999 -999 -999 -999
tso_wide_bayes_r11 NA NA NA NA
tso_long_bayes_r11 NA NA NA 31576.693
msst_wide_ml_r12 -999 -999 -999 -999
msst_long_ml_r12 35191.346 35287.448 35236.61 NA
msst_wide_bayes_r12 NA NA NA NA
msst_long_bayes_r12 NA NA NA 34910.834
cuts_wide_ml_r12 -999 -999 -999 -999
cuts_long_ml_r12 35199.921 35320.048 35256.5 NA
cuts_wide_bayes_r12 NA NA NA NA
cuts_long_bayes_r12 NA NA NA 34922.024
tso_wide_ml_r12 -999 -999 -999 -999
tso_wide_bayes_r12 NA NA NA NA
tso_long_bayes_r12 NA NA NA 31613.529
msst_wide_ml_r13 35861.083 35902.765 35852.233 NA
msst_long_ml_r13 35861.099 35957.201 35906.363 NA
msst_wide_bayes_r13 NA NA NA NA
msst_long_bayes_r13 NA NA NA 35583.734
cuts_wide_ml_r13 -999 -999 -999 -999
cuts_long_ml_r13 35869.089 35989.216 35925.668 NA
cuts_wide_bayes_r13 NA NA NA NA
cuts_long_bayes_r13 NA NA NA 35590.337
tso_wide_ml_r13 -999 -999 -999 -999
tso_wide_bayes_r13 NA NA NA NA
tso_long_bayes_r13 NA NA NA 32194.457
msst_wide_ml_r14 -999 -999 -999 -999
msst_long_ml_r14 35714.899 35811.001 35760.163 NA
msst_wide_bayes_r14 NA NA NA NA
msst_long_bayes_r14 NA NA NA 35441.148
cuts_wide_ml_r14 -999 -999 -999 -999
cuts_long_ml_r14 35722.52 35842.647 35779.099 NA
cuts_wide_bayes_r14 NA NA NA NA
cuts_long_bayes_r14 NA NA NA 35451.746
tso_wide_ml_r14 -999 -999 -999 -999
tso_wide_bayes_r14 NA NA NA NA
tso_long_bayes_r14 NA NA NA 32139.261
msst_wide_ml_r15 -999 -999 -999 -999
msst_long_ml_r15 35410.228 35506.324 35455.486 NA
msst_wide_bayes_r15 NA NA NA NA
msst_long_bayes_r15 NA NA NA 35129.148
cuts_wide_ml_r15 -999 -999 -999 -999
cuts_long_ml_r15 35417.409 35537.53 35473.982 NA
cuts_wide_bayes_r15 NA NA NA NA
cuts_long_bayes_r15 NA NA NA 35138.971
tso_wide_ml_r15 -999 -999 -999 -999
tso_wide_bayes_r15 NA NA NA NA
tso_long_bayes_r15 NA NA NA 31614.974
msst_wide_ml_r16 -999 -999 -999 -999
msst_long_ml_r16 35411.813 35507.915 35457.077 NA
msst_wide_bayes_r16 NA NA NA NA
msst_long_bayes_r16 NA NA NA 35135.844
cuts_wide_ml_r16 -999 -999 -999 -999
cuts_long_ml_r16 35420.284 35540.411 35476.864 NA
cuts_wide_bayes_r16 NA NA NA NA
cuts_long_bayes_r16 NA NA NA 35145.719
tso_wide_ml_r16 -999 -999 -999 -999
tso_wide_bayes_r16 NA NA NA NA
tso_long_bayes_r16 NA NA NA 31763.966
msst_wide_ml_r17 -999 -999 -999 -999
msst_long_ml_r17 35149.276 35245.378 35194.54 NA
msst_wide_bayes_r17 NA NA NA NA
msst_long_bayes_r17 NA NA NA 34899.698
cuts_wide_ml_r17 -999 -999 -999 -999
cuts_long_ml_r17 35157.513 35277.641 35214.093 NA
cuts_wide_bayes_r17 NA NA NA NA
cuts_long_bayes_r17 NA NA NA 34909.847
tso_wide_ml_r17 -999 -999 -999 -999
tso_wide_bayes_r17 NA NA NA NA
tso_long_bayes_r17 NA NA NA 31459.415
msst_wide_ml_r18 35440.554 35482.236 35431.704 NA
msst_long_ml_r18 35440.493 35536.589 35485.751 NA
