w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
true 1 0.5 1.3 0.8 2 1 0.5 1.5 0.8 NA 1 0.8 1.2 0.9 0 0.2 0.4 0.6 2 4 NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r1 1 0.482 1.273 0.776 2.145 0.992 0.456 1.559 0.805 NA 1 0.816 1.192 0.902 0 0.149 0.424 0.583 2.028 4.003 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 1 0.482 1.274 0.776 2.145 0.995 0.457 1.562 0.808 NA 1 0.816 1.192 0.903 0 0.147 0.422 0.581 2.1 4.002 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 1 0.483 1.274 0.776 2.143 0.993 0.456 1.562 0.805 NA 1 0.817 1.194 0.904 0 0.144 0.413 0.574 2.099 4.006 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r1 1 0.483 1.273 0.776 2.143 0.987 0.455 1.556 0.802 NA 1 0.815 1.192 0.902 4.003 3.415 5.196 4.196 2.03 NA 0.005 0.002 0.003 0.004 NA NA NA NA NA NA
cuts_wide_bayes_r1 1 0.483 1.274 0.777 2.139 0.989 0.455 1.556 0.802 NA 1 0.814 1.192 0.902 3.989 3.404 5.18 4.184 2.101 NA 0.008 0.004 0.009 0.006 NA NA NA NA NA NA
cuts_long_bayes_r1 1 0.483 1.273 0.777 2.143 0.988 0.455 1.556 0.801 NA 1 0.815 1.193 0.903 4.055 3.456 5.257 4.243 2.099 NA 0.009 0.005 0.009 0.006 NA NA NA NA NA NA
tso_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r1 1 0.483 1.274 0.777 2.143 0.988 0.455 1.556 0.801 0.045 NA NA NA NA 3.98 3.396 5.167 4.176 NA NA 2.257 1.492 3.208 1.839 1.827 2.677 2.18 2.028 1.648 2.417
tso_long_bayes_r1 1 0.483 1.274 0.777 2.142 0.986 0.455 1.558 0.801 0.045 NA NA NA NA 4.014 3.424 5.212 4.206 NA NA 2.25 1.487 3.203 1.833 1.82 2.671 2.172 2.02 1.645 2.411
msst_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r2 1 0.51 1.295 0.794 2.028 0.977 0.534 1.574 0.833 NA 1 0.778 1.197 0.853 0 0.319 0.438 0.812 1.798 3.971 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 1 0.51 1.295 0.794 2.028 0.98 0.535 1.578 0.835 NA 1 0.779 1.197 0.853 0 0.316 0.437 0.809 1.855 3.968 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 1 0.51 1.295 0.794 2.028 0.977 0.534 1.576 0.832 NA 1 0.777 1.197 0.852 0 0.322 0.436 0.816 1.866 3.971 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
