"msst_wide_ml" "msst_long_ml" "msst_wide_bayes" "msst_long_bayes" "cuts_wide_ml" "cuts_long_ml" "cuts_wide_bayes" "cuts_long_bayes" "tso_wide_ml" "tso_wide_bayes" "tso_long_bayes"
NA 1.92 NA 430.42 NA 2.14 NA 480 NA NA 532.4
NA 2.04 NA 430.15 NA 2.29 NA 214.16 NA NA 962.98
NA 2.12 NA 427.4 NA 2.37 NA 210.77 NA NA 998.56
NA 2.14 NA 426.43 NA 2.37 NA 211.81 NA NA 784.05
NA 2.15 NA 454.72 NA 2.45 NA 305.45 NA NA 1349.65
NA 1.78 NA 460.27 NA 29.88 NA 224.69 NA NA 338.98
NA 2.11 NA 427.7 NA 2.31 NA 208.6 NA NA 710.26
NA 1.5 NA 426.71 NA 1.79 NA 260.78 NA NA 455.2
NA 2.09 NA 429.24 NA 2.48 NA 264.25 NA NA 415.42
NA 2.22 NA 428.01 NA 6.63 NA 215.3 NA NA 701.08
NA 1.81 NA 430.39 NA 2 NA 215.05 NA NA 887.46
NA 1.7 NA 430.14 NA 2.08 NA 214.71 NA NA 1418.57
NA 1.72 NA 424 NA 2.12 NA 220.49 NA NA 653.02
NA 2.03 NA 425.64 NA 2.26 NA 210.88 NA NA 482.78
NA 1.92 NA 423.86 NA 2.67 NA 211.45 NA NA 907.8
NA 2.28 NA 430.81 NA 2.69 NA 359.94 NA NA 705.15
NA 2.19 NA 423.42 NA 2.59 NA 391.88 NA NA 541.57
NA 1.95 NA 430.57 NA 2.15 NA 253.58 NA NA 753.13
NA 1.84 NA 428.61 NA 2.05 NA 216.22 NA NA 331.79
NA 1.72 NA 426.38 NA 5.82 NA 450.25 NA NA 508.24
NA 1.97 NA 431.27 NA 2.18 NA 289.97 NA NA 371.86
NA 1.05 NA 430.98 NA 0.95 NA 216.59 NA NA 490.49
NA 2.12 NA 424.75 NA 26.44 NA 265.19 NA NA 1110.43
NA 1.88 NA 428.68 NA 2.09 NA 544.06 NA NA 585.18
NA 1.8 NA 422.17 NA 2.03 NA 209.27 NA NA 617.63
NA 2.2 NA 430.98 NA 2.55 NA 214.13 NA NA 600.5
NA 1.81 NA 427.94 NA 1.98 NA 214.35 NA NA 697.31
NA 1.8 NA 427.71 NA 2.08 NA 210.86 NA NA 1018.44
NA 2.17 NA 429.63 NA 2.52 NA 225.34 NA NA 794.79
NA 2.01 NA 425.87 NA 2.33 NA 213.7 NA NA 684.42
NA 2.14 NA 426.4 NA 2.42 NA 272.92 NA NA 697.01
NA 1.69 NA 422.31 NA 17.8 NA 210.76 NA NA 492.37
NA 1.78 NA 428.95 NA 1.96 NA 339.66 NA NA 357.44
NA 2.2 NA 425.55 NA 2.51 NA 724.47 NA NA 488.82
NA 2.14 NA 428.53 NA 2.29 NA 204.71 NA NA 798.46
NA 1.95 NA 429.94 NA 2.2 NA 213.02 NA NA 914.92
NA 2.17 NA 429.25 NA 2.48 NA 324.9 NA NA 552.36
NA 1.62 NA 427.96 NA 1.88 NA 213.52 NA NA 532.57
NA 1.94 NA 426.87 NA 2.12 NA 211.69 NA NA 328.1
NA 2.14 NA 425.27 NA 2.52 NA 235.17 NA NA 842.37
NA 2.15 NA 432.79 NA 2.51 NA 216.39 NA NA 422.36
NA 1.87 NA 424.78 NA 3.68 NA 465.34 NA NA 329.78
NA 1.74 NA 425.23 NA 2.34 NA 297.01 NA NA 623.86
NA 1.87 NA 432.14 NA 2.06 NA 212.28 NA NA 692.8
NA 2.04 NA 430.7 NA 2.51 NA 396.96 NA NA 1244.45
NA 1.83 NA 431.52 NA 33.15 NA 267.39 NA NA 623.14
NA 2.1 NA 432.6 NA 34.21 NA 213.38 NA NA 499.34
NA 1.82 NA 427.51 NA 10.52 NA 346.35 NA NA 718.37
NA 1.68 NA 425.01 NA 1.77 NA 210.14 NA NA 1133.68
NA 2.08 NA 425.68 NA 2.31 NA 199.51 NA NA 619.87
