ccon_pred_y1 ccon_pred_y2 ccon_pred_y3 ccon_pred_y4 ucon_upred_y1 ucon_upred_y2 ucon_upred_y3 ucon_upred_y4 tcon_con_y1 tcon_con_y2 tcon_con_y3 tcon_con_y4 spe_y1 spe_y2 spe_y3 spe_y4 rel_y1 rel_y2 rel_y3 rel_y4
true 0.352941176470588 0.5625 0.293887147335423 0.411119812059514 0.117647058823529 0.0625 0.132445141065831 0.100234925606891 0.470588235294118 0.625 0.426332288401254 0.511354737666406 0.352941176470588 0.1875 0.397335423197492 0.300704776820673 0.823529411764706 0.8125 0.823667711598746 0.812059514487079
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA 0.14801999231065 0.540889444424593 0.226932329914972 0.164137517659964 0.586889657823914 0.25021407691426 0.534054157816033 0.478305829622832 0.734909650134564 0.791103521338853 0.760986487731006 0.642443347282796
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 NA NA NA NA NA NA NA NA 0.164606509836994 0.551829484647833 0.24114688740179 0.187939789673362 0.577905345504745 0.242709781937925 0.526434721821822 0.469099769645719 0.743213264969681 0.794729195599893 0.768258179044942 0.657796712154678
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 0.215795541890853 0.476829355223712 0.269979999314364 0.228357352249983 0.109146810146042 0.0709350739795837 0.0249662346625483 0.177436409529276 0.324942352036895 0.547764429203296 0.294946233976912 0.40579376177926 0.485395849346656 0.250858777443553 0.517502539777603 0.393882746741086 0.810338201383551 0.798623206646848 0.812448773754515 0.799676508520345
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 0.215136318588654 0.482151709218357 0.276654308917055 0.23085098609675 0.114682116869376 0.0743782497095984 0.0263518081827417 0.183886814695015 0.331623020607964 0.558048836226997 0.303399466305388 0.416817151168834 0.480388563566668 0.244823504980017 0.511273563749571 0.386403037329024 0.812397875417335 0.802937168170889 0.814894601136036 0.803563730121819
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 0.33269744277837 0.564757459265223 0.300351062534153 0.417628200517305 0.108050963359174 0.0545433504399051 0.115786005447615 0.0870702487803658 0.44114089937019 0.619594686967572 0.416588690232617 0.505146064185343 0.375520041931331 0.189402896415836 0.402197030064092 0.302341263093466 0.816929008173489 0.8091359978709 0.819249236510693 0.807776571646439
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
