"par" "long" "wide" "trunc" "tv"
"1" "loadings1" 0 0 0 0
"2" "loadings2" 0.00300000000000011 0.00300000000000011 0.0269999999999999 0.246779253585061
"3" "loadings3" 0.00900000000000001 0.00900000000000001 0.0509999999999999 0.2238503964705
"4" "loadings4" 0.012 0.012 0.0110000000000001 0.238458941259636
"5" "CS.var" 0.0209999999999999 0.0209999999999999 0.306 0.327102430440374
"6" "US.var1" 0.036 0.036 0.252 0.392170721752657
"7" "US.var2" 0.0960000000000001 0.0960000000000001 0.046 0.693617599978547
"8" "US.var3" 0.0309999999999999 0.0309999999999999 0.042 0.533275022854062
"9" "US.var4" 0.0659999999999998 0.0659999999999998 0.396 0.750528980120022
"10" "loadings1" 0 0 0 0.310912635102961
"11" "loadings2" 0.011 0.011 0.013 0.395038816658144
"12" "loadings3" 0.048 0.048 0.044 0.341658699094091
"13" "loadings4" 0.334 0.334 0.343 0.488331513079656
"14" "intercepts1" 0.032 0.032 0.343 0.487661554427522
"15" "intercepts2" 0.188 0.188 0.242 0.574838781746674
"16" "intercepts3" 0.0129999999999999 0.0129999999999999 0.46 0.548311803022088
"17" "intercepts4" 0.322 0.322 0.0419999999999998 0.513467582553498
"18" "CT.var" 0.462 0.462 0.596 0.699
"19" "UT.var1" 0.073 0.073 0.016 0.144
"20" "UT.var2" 0.062 0.062 0.107 0.392
"21" "UT.var3" 0.115 0.115 0.071 0.045
"22" "UT.var4" 0.179 0.179 0.124 0.16
