"par" "long" "wide" "trunc" "tv"
"1" "loadings1" 0 0 0 0
"2" "loadings2" 0.00700000000000012 0.00700000000000012 0.00499999999999989 0.2812045518835
"3" "loadings3" 0.003 0.003 0.00600000000000001 0.249399278266799
"4" "loadings4" 0.00600000000000001 0.00600000000000001 0.042 0.234153083829077
"5" "state.var" 0.0659999999999998 0.0659999999999998 0.132 0.32485227411856
"6" "error.var1" 0.0110000000000001 0.0110000000000001 0.134 0.976778314153216
"7" "error.var2" 0.04 0.04 0.056 1.6858665056878
"8" "error.var3" 0.0529999999999999 0.0529999999999999 0.157 1.19973007380827
"9" "error.var4" 0.0630000000000002 0.0630000000000002 0.114 0.965130949664345
"10" "loadings1" 0 0 0 0.310912635102961
"11" "loadings2" 0.005 0.005 0.00600000000000001 0.355419001555441
"12" "loadings3" 0.00700000000000001 0.00700000000000001 0.012 0.356259736709048
"13" "loadings4" 0.075 0.075 0.0549999999999999 0.352892807143095
"14" "intercepts1" 0 0 0 0.431214128942919
"15" "intercepts2" 0.016 0.016 0.09 0.662522169440389
"16" "intercepts3" 0.028 0.028 0.179 0.635211382139835
"17" "intercepts4" 0.304 0.304 0.259 0.675374803349962
"18" "trait.mean" 0.141 0.141 0.305 0.282
"19" "trait.var" 0.218 0.218 0.366 0.883
