"par" "true" "long" "wide" "trunc" "tv"
"1" "loadings1" 1 1 1 1 1
"2" "loadings2" 1.1 1.101 1.102 1.107 0.784
"3" "loadings3" 0.8 0.807 0.807 0.854 0.847
"4" "loadings4" 1.2 1.231 1.232 1.249 0.921
"5" "ar.effect" 0.5 0.473 0.474 0.468 0.441
"6" "error.var1" 3 3.058 3.056 2.738 2.662
"7" "error.var2" 1 1.086 1.083 1.019 2.67
"8" "error.var3" 2 1.982 1.979 1.936 2.86
"9" "error.var4" 3 2.927 2.92 2.548 2.915
"10" "state.var" 2 2 2.01 1.663 2.147
"11" "intercepts1" 3 2.869 2.874 2.529 3.222
"12" "intercepts2" 3 2.803 2.814 2.447 3.241
"13" "intercepts3" 4 3.901 3.915 3.437 3.182
"14" "intercepts4" 3 3.006 3.01 2.659 3.161
"15" "trait.ind.var1" 2.5 2.269 2.076 1.879 1.587
"16" "trait.ind.var2" 2 1.877 1.713 1.516 1.351
"17" "trait.ind.var3" 1.5 1.302 1.191 1.208 1.305
"18" "trait.ind.var4" 2.5 2.208 2.009 1.889 2.011
"19" "cov12" 2.01 1.869 1.717 1.521 1.328
"20" "cov13" 1.55 1.304 1.206 1.126 1.156
"21" "cov23" 1.39 1.169 1.078 0.985 1.013
"22" "cov14" 1.75 1.514 1.404 1.272 1.268
"23" "cov24" 1.34 1.178 1.091 0.945 1.009
"24" "cov34" 1.74 1.527 1.403 1.352 1.554
