1	1	-1	3	.	1
1	2	-1	.	0	2
1	3	2	4	3	.
1	4	1	5	.	3
1	5	-3	3	0	1
2	1	2	5	.	1
2	2	0	.	-1	1
2	3	.	1	-2	0
2	4	.	4	5	1
2	5	1	4	1	3
3	1	6	.	3	6
3	2	6	2	.	.
3	3	.	.	.	6
3	4	4	4	.	4
3	5	2	.	3	4
4	1	.	2	2	2
4	2	1	2	0	.
4	3	1	3	.	.
4	4	0	2	.	3
4	5	.	2	.	3
5	1	.	2	4	6
5	2	1	1	4	.
5	3	1	1	4	.
5	4	1	1	2	4
5	5	1	2	4	4
6	1	.	4	.	4
6	2	.	5	7	6
6	3	5	.	5	.
6	4	5	3	8	4
6	5	4	3	3	2
7	1	.	3	2	4
7	2	1	2	1	3
7	3	0	.	0	1
7	4	1	2	3	.
7	5	.	3	5	6
8	1	0	.	2	4
8	2	1	1	3	4
8	3	0	.	3	2
8	4	-1	0	1	2
8	5	.	1	.	3
9	1	0	4	2	0
9	2	0	.	2	.
9	3	1	3	1	1
9	4	-1	.	0	0
9	5	.	4	4	2
10	1	2	3	4	3
10	2	0	1	.	3
10	3	2	2	4	4
10	4	7	2	7	6
10	5	1	.	1	0
11	1	4	4	6	6
11	2	1	2	3	4
11	3	5	.	8	7
11	4	2	.	7	4
11	5	6	5	8	7
12	1	1	1	1	1
12	2	1	3	3	5
12	3	2	1	3	.
12	4	3	2	3	4
12	5	.	3	3	3
13	1	1	3	.	2
13	2	.	5	2	6
13	3	0	3	2	3
13	4	4	5	5	.
13	5	0	2	.	3
14	1	1	1	2	4
14	2	1	3	3	4
14	3	3	2	.	5
14	4	1	1	.	2
14	5	3	2	2	.
15	1	3	.	4	3
15	2	0	0	-1	1
15	3	0	.	0	1
15	4	1	.	1	3
15	5	1	.	1	1
16	1	5	7	6	.
16	2	.	6	8	3
16	3	4	6	3	4
16	4	2	4	2	2
16	5	3	5	5	3
17	1	4	1	1	4
17	2	.	3	2	3
17	3	1	0	.	3
17	4	.	3	.	5
17	5	1	1	1	.
18	1	-2	0	-3	0
18	2	.	.	-1	1
18	3	-1	-1	-2	0
18	4	0	1	0	1
18	5	-4	0	-3	0
19	1	0	.	.	1
19	2	0	2	6	4
19	3	4	2	.	7
19	4	2	0	3	5
19	5	2	2	.	7
20	1	0	0	0	2
20	2	0	0	.	1
20	3	-1	0	.	.
20	4	2	0	5	2
20	5	3	2	6	5
21	1	3	1	.	6
21	2	1	1	1	3
21	3	.	.	2	2
21	4	-2	0	-1	2
21	5	2	.	3	3
22	1	0	.	1	4
22	2	0	4	1	3
22	3	0	.	0	0
22	4	0	3	3	3
22	5	0	2	2	2
23	1	0	3	0	0
23	2	0	2	-2	1
23	3	5	.	2	3
23	4	0	2	1	1
23	5	.	2	4	3
24	1	-1	0	-3	1
24	2	0	2	0	4
24	3	0	.	1	.
24	4	0	.	0	3
24	5	1	.	5	4
25	1	0	0	0	1
25	2	1	.	1	.
25	3	5	2	4	4
25	4	2	2	3	1
25	5	0	0	.	1
26	1	.	1	4	2
26	2	0	1	0	2
26	3	-2	1	-1	.
26	4	.	0	-1	.
26	5	0	2	5	.
27	1	2	0	2	5
27	2	0	0	0	4
27	3	.	2	4	6
27	4	2	3	.	.
27	5	.	1	.	6
28	1	.	.	.	2
28	2	1	2	.	4
28	3	5	.	4	4
28	4	4	1	.	4
28	5	1	1	0	3
29	1	-1	0	1	.
29	2	0	2	0	4
29	3	.	3	0	3
29	4	0	3	2	3
29	5	0	2	1	3
30	1	4	2	5	3
30	2	1	0	2	2
30	3	4	.	.	2
30	4	3	3	.	4
30	5	5	.	6	5
31	1	.	1	.	2
31	2	2	.	6	2
31	3	4	.	5	.
31	4	.	4	3	3
31	5	5	4	5	4
32	1	.	0	0	2
32	2	3	2	1	4
32	3	2	.	1	4
32	4	1	3	.	4
32	5	1	.	3	3
33	1	.	4	5	6
33	2	.	4	7	6
33	3	5	5	6	7
33	4	.	2	.	4
33	5	0	1	.	0
34	1	0	2	4	3
34	2	.	.	.	4
34	3	3	3	4	4
34	4	2	.	6	.
34	5	5	4	6	2
35	1	.	1	3	3
35	2	2	3	1	3
35	3	1	2	4	3
35	4	.	1	1	2
35	5	1	3	.	3
36	1	1	1	-1	2
36	2	1	1	.	1
36	3	1	0	0	1
36	4	0	0	2	2
36	5	.	2	2	3
37	1	2	3	5	4
37	2	2	4	4	5
37	3	0	2	1	3
37	4	0	3	.	2
37	5	0	1	1	4
38	1	.	3	0	1
38	2	1	2	1	.
38	3	2	1	4	3
38	4	3	1	1	2
38	5	.	1	.	2
39	1	2	3	.	2
39	2	6	2	4	3
39	3	6	2	4	.
39	4	2	3	2	0
39	5	0	1	0	.
40	1	4	3	8	.
40	2	.	.	1	.
40	3	1	1	.	4
40	4	.	1	3	4
40	5	-1	.	0	1
41	1	.	0	3	0
41	2	-1	.	-1	0
41	3	1	.	.	0
41	4	1	2	.	1
41	5	.	1	1	0
42	1	3	.	.	4
42	2	0	1	4	.
42	3	1	.	0	2
42	4	1	2	2	3
42	5	.	3	5	3
43	1	1	2	.	3
43	2	-1	4	2	1
43	3	0	1	1	.
43	4	.	.	4	2
43	5	1	3	5	4
44	1	.	.	.	7
44	2	2	3	.	7
44	3	1	2	4	5
44	4	2	4	6	7
44	5	.	3	.	5
45	1	1	2	2	4
45	2	-1	2	2	2
45	3	1	3	.	3
45	4	.	.	0	2
45	5	1	3	3	3
46	1	1	1	.	3
46	2	0	2	3	2
46	3	.	.	0	2
46	4	0	2	0	.
46	5	2	4	1	2
47	1	2	.	4	6
47	2	3	1	3	5
47	3	-2	0	.	1
47	4	0	3	6	5
47	5	0	1	.	4
48	1	.	.	.	4
48	2	2	.	2	.
48	3	1	0	2	4
48	4	2	0	2	3
48	5	4	1	2	4
49	1	4	3	3	.
49	2	6	2	5	3
49	3	9	4	8	5
49	4	4	4	4	4
49	5	4	3	2	.
50	1	-1	0	-3	-1
50	2	4	3	8	4
50	3	0	2	1	0
50	4	5	5	.	6
50	5	1	3	1	.
51	1	6	2	5	.
51	2	.	2	3	4
51	3	4	2	3	6
51	4	3	1	.	6
51	5	3	2	4	4
52	1	1	2	.	.
52	2	2	2	2	4
52	3	2	1	1	5
52	4	0	.	-3	2
52	5	2	2	1	2
53	1	3	1	.	3
53	2	3	1	2	.
53	3	2	2	.	3
53	4	0	0	-1	1
53	5	2	4	3	3
54	1	5	3	7	7
54	2	5	4	.	7
54	3	4	4	3	6
54	4	2	4	2	5
54	5	6	4	8	8
55	1	0	.	-1	1
55	2	1	.	.	.
55	3	2	5	.	.
55	4	.	3	-1	2
55	5	1	2	4	4
56	1	6	6	.	6
56	2	3	4	4	3
56	3	4	3	4	.
56	4	4	4	6	3
56	5	3	.	4	1
57	1	1	2	1	.
57	2	1	.	2	.
57	3	0	2	.	3
57	4	-3	.	-1	1
57	5	-2	.	0	0
58	1	1	4	2	5
58	2	3	4	6	5
58	3	-1	3	0	0
58	4	-2	1	.	2
58	5	1	3	3	3
59	1	.	3	0	5
59	2	3	1	0	2
59	3	4	4	5	4
59	4	4	2	1	4
59	5	2	2	2	4
60	1	3	1	6	3
60	2	2	1	6	.
60	3	0	0	3	2
60	4	2	1	4	3
60	5	.	.	6	3
61	1	2	1	4	5
61	2	1	1	2	2
61	3	3	.	.	4
61	4	5	.	.	7
61	5	4	3	3	.
62	1	1	1	4	2
62	2	0	1	5	2
62	3	3	2	8	5
62	4	0	1	2	2
62	5	0	.	0	2
63	1	-1	0	-1	.
63	2	-2	0	0	.
63	3	.	2	3	4
63	4	0	2	1	.
63	5	0	1	1	5
64	1	4	3	3	1
64	2	2	2	2	.
64	3	3	4	.	3
64	4	3	2	1	0
64	5	1	2	-1	1
65	1	-1	.	-1	0
65	2	0	5	0	0
65	3	2	3	2	0
65	4	4	3	4	1
65	5	0	3	1	.
66	1	2	4	0	6
66	2	3	3	4	3
66	3	0	4	0	2
66	4	0	3	.	3
66	5	-1	4	1	5
67	1	3	3	7	.
67	2	2	.	.	3
67	3	3	2	5	4
67	4	4	3	.	6
67	5	2	2	2	4
68	1	0	1	.	4
68	2	0	-1	0	4
68	3	.	1	1	4
68	4	1	1	2	.
68	5	1	0	3	.
69	1	2	.	2	2
69	2	.	4	9	6
69	3	2	2	2	4
69	4	2	3	5	4
69	5	2	4	6	.
70	1	3	3	.	7
70	2	.	3	.	6
70	3	6	4	.	7
70	4	6	5	.	8
70	5	5	3	4	.
71	1	1	1	2	.
71	2	.	3	4	.
71	3	1	5	5	.
71	4	.	1	.	4
71	5	5	5	9	9
72	1	0	0	.	1
72	2	.	1	-3	-1
72	3	-2	1	-2	0
72	4	.	1	-1	0
72	5	1	1	1	3
73	1	6	.	6	4
73	2	.	4	5	.
73	3	2	.	3	1
73	4	2	3	2	.
73	5	.	3	2	3
74	1	6	2	7	4
74	2	1	-1	2	0
74	3	5	.	.	3
74	4	2	1	.	3
74	5	5	2	5	3
75	1	-1	2	0	3
75	2	0	.	1	2
75	3	0	2	0	.
75	4	0	2	5	1
75	5	1	4	5	3
76	1	5	5	8	7
76	2	.	5	6	6
76	3	4	.	10	7
76	4	3	4	7	.
76	5	2	3	2	2
77	1	2	2	1	4
77	2	.	0	-1	3
77	3	1	2	-1	.
77	4	3	2	5	6
77	5	3	3	2	5
78	1	0	2	2	2
78	2	0	1	0	.
78	3	.	.	0	.
78	4	0	1	0	2
78	5	0	1	2	1
79	1	0	1	.	2
79	2	2	4	3	4
79	3	.	3	.	.
79	4	6	4	.	5
79	5	3	.	3	.
80	1	0	.	0	2
80	2	2	2	3	4
80	3	.	2	2	.
80	4	2	2	.	4
80	5	1	3	3	.
81	1	-1	.	0	0
81	2	0	0	0	0
81	3	2	.	2	4
81	4	3	3	5	5
81	5	3	1	.	4
82	1	3	1	2	3
82	2	.	4	2	6
82	3	4	2	1	5
82	4	2	.	4	3
82	5	3	4	4	3
83	1	5	6	4	8
83	2	0	0	0	3
83	3	0	.	2	3
