"par" "true" "long" "wide" "trunc" "tv"
"1" "loadings1" 1 1 1 1 1
"2" "loadings2" 1.1 1.097 1.097 1.127 0.77
"3" "loadings3" 0.8 0.809 0.809 0.851 0.873
"4" "loadings4" 1.2 1.212 1.212 1.211 0.846
"5" "CS.var" 2 2.021 2.021 1.694 2.066
"6" "US.var1" 3 3.036 3.036 2.748 2.471
"7" "US.var2" 1 1.096 1.096 1.046 2.909
"8" "US.var3" 2 1.969 1.969 1.958 2.641
"9" "US.var4" 3 2.934 2.934 2.604 2.995
"10" "loadings1" 1 1 1 1 1
"11" "loadings2" 0.9 0.889 0.889 0.913 1.127
"12" "loadings3" 0.5 0.452 0.452 0.456 1.112
"13" "loadings4" 1.2 0.866 0.866 0.857 1.281
"14" "intercepts1" 3 3.032 3.032 2.657 3.223
"15" "intercepts2" 3 3.188 3.188 2.758 3.278
"16" "intercepts3" 4 4.013 4.013 3.54 3.1
"17" "intercepts4" 3 3.322 3.322 2.958 3.22
"18" "CT.var" 1.5 1.038 1.038 0.904 0.801
"19" "UT.var1" 0.5 0.573 0.573 0.484 0.356
"20" "UT.var2" 0.5 0.438 0.438 0.393 0.108
"21" "UT.var3" 1 1.115 1.115 1.071 0.955
"22" "UT.var4" 2 2.179 2.179 1.876 1.84
