1	-1	3	.	1	-1	.	0	2	2	4	3	.	1	5	.	3	-3	3	0	1
2	2	5	.	1	0	.	-1	1	.	1	-2	0	.	4	5	1	1	4	1	3
3	6	.	3	6	6	2	.	.	.	.	.	6	4	4	.	4	2	.	3	4
4	.	2	2	2	1	2	0	.	1	3	.	.	0	2	.	3	.	2	.	3
5	.	2	4	6	1	1	4	.	1	1	4	.	1	1	2	4	1	2	4	4
6	.	4	.	4	.	5	7	6	5	.	5	.	5	3	8	4	4	3	3	2
7	.	3	2	4	1	2	1	3	0	.	0	1	1	2	3	.	.	3	5	6
8	0	.	2	4	1	1	3	4	0	.	3	2	-1	0	1	2	.	1	.	3
9	0	4	2	0	0	.	2	.	1	3	1	1	-1	.	0	0	.	4	4	2
10	2	3	4	3	0	1	.	3	2	2	4	4	7	2	7	6	1	.	1	0
11	4	4	6	6	1	2	3	4	5	.	8	7	2	.	7	4	6	5	8	7
12	1	1	1	1	1	3	3	5	2	1	3	.	3	2	3	4	.	3	3	3
13	1	3	.	2	.	5	2	6	0	3	2	3	4	5	5	.	0	2	.	3
14	1	1	2	4	1	3	3	4	3	2	.	5	1	1	.	2	3	2	2	.
15	3	.	4	3	0	0	-1	1	0	.	0	1	1	.	1	3	1	.	1	1
16	5	7	6	.	.	6	8	3	4	6	3	4	2	4	2	2	3	5	5	3
17	4	1	1	4	.	3	2	3	1	0	.	3	.	3	.	5	1	1	1	.
18	-2	0	-3	0	.	.	-1	1	-1	-1	-2	0	0	1	0	1	-4	0	-3	0
19	0	.	.	1	0	2	6	4	4	2	.	7	2	0	3	5	2	2	.	7
20	0	0	0	2	0	0	.	1	-1	0	.	.	2	0	5	2	3	2	6	5
21	3	1	.	6	1	1	1	3	.	.	2	2	-2	0	-1	2	2	.	3	3
22	0	.	1	4	0	4	1	3	0	.	0	0	0	3	3	3	0	2	2	2
23	0	3	0	0	0	2	-2	1	5	.	2	3	0	2	1	1	.	2	4	3
24	-1	0	-3	1	0	2	0	4	0	.	1	.	0	.	0	3	1	.	5	4
25	0	0	0	1	1	.	1	.	5	2	4	4	2	2	3	1	0	0	.	1
26	.	1	4	2	0	1	0	2	-2	1	-1	.	.	0	-1	.	0	2	5	.
27	2	0	2	5	0	0	0	4	.	2	4	6	2	3	.	.	.	1	.	6
28	.	.	.	2	1	2	.	4	5	.	4	4	4	1	.	4	1	1	0	3
29	-1	0	1	.	0	2	0	4	.	3	0	3	0	3	2	3	0	2	1	3
30	4	2	5	3	1	0	2	2	4	.	.	2	3	3	.	4	5	.	6	5
31	.	1	.	2	2	.	6	2	4	.	5	.	.	4	3	3	5	4	5	4
32	.	0	0	2	3	2	1	4	2	.	1	4	1	3	.	4	1	.	3	3
33	.	4	5	6	.	4	7	6	5	5	6	7	.	2	.	4	0	1	.	0
34	0	2	4	3	.	.	.	4	3	3	4	4	2	.	6	.	5	4	6	2
35	.	1	3	3	2	3	1	3	1	2	4	3	.	1	1	2	1	3	.	3
36	1	1	-1	2	1	1	.	1	1	0	0	1	0	0	2	2	.	2	2	3
37	2	3	5	4	2	4	4	5	0	2	1	3	0	3	.	2	0	1	1	4
38	.	3	0	1	1	2	1	.	2	1	4	3	3	1	1	2	.	1	.	2
39	2	3	.	2	6	2	4	3	6	2	4	.	2	3	2	0	0	1	0	.
40	4	3	8	.	.	.	1	.	1	1	.	4	.	1	3	4	-1	.	0	1
41	.	0	3	0	-1	.	-1	0	1	.	.	0	1	2	.	1	.	1	1	0
42	3	.	.	4	0	1	4	.	1	.	0	2	1	2	2	3	.	3	5	3
43	1	2	.	3	-1	4	2	1	0	1	1	.	.	.	4	2	1	3	5	4
44	.	.	.	7	2	3	.	7	1	2	4	5	2	4	6	7	.	3	.	5
45	1	2	2	4	-1	2	2	2	1	3	.	3	.	.	0	2	1	3	3	3
46	1	1	.	3	0	2	3	2	.	.	0	2	0	2	0	.	2	4	1	2
47	2	.	4	6	3	1	3	5	-2	0	.	1	0	3	6	5	0	1	.	4
48	.	.	.	4	2	.	2	.	1	0	2	4	2	0	2	3	4	1	2	4
49	4	3	3	.	6	2	5	3	9	4	8	5	4	4	4	4	4	3	2	.
50	-1	0	-3	-1	4	3	8	4	0	2	1	0	5	5	.	6	1	3	1	.
51	6	2	5	.	.	2	3	4	4	2	3	6	3	1	.	6	3	2	4	4
52	1	2	.	.	2	2	2	4	2	1	1	5	0	.	-3	2	2	2	1	2
53	3	1	.	3	3	1	2	.	2	2	.	3	0	0	-1	1	2	4	3	3
54	5	3	7	7	5	4	.	7	4	4	3	6	2	4	2	5	6	4	8	8
55	0	.	-1	1	1	.	.	.	2	5	.	.	.	3	-1	2	1	2	4	4
56	6	6	.	6	3	4	4	3	4	3	4	.	4	4	6	3	3	.	4	1
57	1	2	1	.	1	.	2	.	0	2	.	3	-3	.	-1	1	-2	.	0	0
58	1	4	2	5	3	4	6	5	-1	3	0	0	-2	1	.	2	1	3	3	3
59	.	3	0	5	3	1	0	2	4	4	5	4	4	2	1	4	2	2	2	4
60	3	1	6	3	2	1	6	.	0	0	3	2	2	1	4	3	.	.	6	3
61	2	1	4	5	1	1	2	2	3	.	.	4	5	.	.	7	4	3	3	.
62	1	1	4	2	0	1	5	2	3	2	8	5	0	1	2	2	0	.	0	2
63	-1	0	-1	.	-2	0	0	.	.	2	3	4	0	2	1	.	0	1	1	5
64	4	3	3	1	2	2	2	.	3	4	.	3	3	2	1	0	1	2	-1	1
65	-1	.	-1	0	0	5	0	0	2	3	2	0	4	3	4	1	0	3	1	.
66	2	4	0	6	3	3	4	3	0	4	0	2	0	3	.	3	-1	4	1	5
67	3	3	7	.	2	.	.	3	3	2	5	4	4	3	.	6	2	2	2	4
68	0	1	.	4	0	-1	0	4	.	1	1	4	1	1	2	.	1	0	3	.
69	2	.	2	2	.	4	9	6	2	2	2	4	2	3	5	4	2	4	6	.
70	3	3	.	7	.	3	.	6	6	4	.	7	6	5	.	8	5	3	4	.
71	1	1	2	.	.	3	4	.	1	5	5	.	.	1	.	4	5	5	9	9
72	0	0	.	1	.	1	-3	-1	-2	1	-2	0	.	1	-1	0	1	1	1	3
73	6	.	6	4	.	4	5	.	2	.	3	1	2	3	2	.	.	3	2	3
74	6	2	7	4	1	-1	2	0	5	.	.	3	2	1	.	3	5	2	5	3
75	-1	2	0	3	0	.	1	2	0	2	0	.	0	2	5	1	1	4	5	3
76	5	5	8	7	.	5	6	6	4	.	10	7	3	4	7	.	2	3	2	2
77	2	2	1	4	.	0	-1	3	1	2	-1	.	3	2	5	6	3	3	2	5
78	0	2	2	2	0	1	0	.	.	.	0	.	0	1	0	2	0	1	2	1
79	0	1	.	2	2	4	3	4	.	3	.	.	6	4	.	5	3	.	3	.
80	0	.	0	2	2	2	3	4	.	2	2	.	2	2	.	4	1	3	3	.
81	-1	.	0	0	0	0	0	0	2	.	2	4	3	3	5	5	3	1	.	4
82	3	1	2	3	.	4	2	6	4	2	1	5	2	.	4	3	3	4	4	3
83	5	6	4	8	0	0	0	3	0	.	2	3	0	1	1	2	.	.	1	.
84	3	.	3	4	4	4	4	6	0	.	0	2	3	2	4	.	5	.	5	7
85	0	0	0	.	2	3	1	.	1	.	.	3	2	2	.	4	1	2	6	5
86	5	4	.	5	.	.	.	.	.	3	3	5	.	5	7	5	2	.	5	4
87	5	.	3	6	0	.	5	.	.	4	4	4	.	2	4	.	1	4	4	.
88	2	3	4	1	0	3	2	.	2	4	1	1	.	2	1	3	3	4	4	4
89	3	3	3	6	2	1	.	.	0	1	-1	2	1	1	0	5	1	1	2	4
90	.	4	6	5	0	.	2	4	.	4	8	7	3	3	.	5	1	4	.	.
91	5	4	4	.	2	4	.	.	.	.	4	4	.	4	.	5	3	5	5	4
92	0	2	0	5	3	4	3	.	.	4	.	4	.	.	0	4	4	6	.	7
93	2	3	5	6	6	6	7	7	.	3	2	5	.	4	3	6	2	2	4	.
94	.	2	1	1	-2	0	0	-1	-1	0	.	.	0	0	2	1	-1	1	0	1
95	2	6	.	5	-1	3	0	1	0	4	3	4	1	6	2	1	2	5	4	6
96	0	1	.	.	.	.	1	.	2	.	2	1	0	1	2	2	2	2	4	3
97	9	8	11	7	4	.	3	.	5	5	5	8	5	4	3	.	6	8	7	7
98	.	1	.	3	2	.	7	5	4	.	.	6	3	1	2	4	.	4	7	7
99	.	1	5	5	-1	2	0	0	1	2	2	.	3	1	2	3	0	1	1	.
100	0	2	2	3	2	3	5	3	0	1	-1	.	0	.	.	.	0	2	.	3
