1	1	2	1	3
1	2	1	1	4
1	3	3	.	4
1	4	3	3	.
1	5	3	0	1
2	1	3	3	4
2	2	3	4	2
2	3	0	1	.
2	4	4	3	6
2	5	3	3	3
3	1	7	5	.
3	2	6	4	8
3	3	.	4	10
3	4	7	.	10
3	5	5	4	6
4	1	4	3	3
4	2	4	3	2
4	3	5	4	7
4	4	2	3	4
4	5	3	4	6
5	1	6	.	5
5	2	3	4	7
5	3	4	2	.
5	4	3	3	6
5	5	3	4	7
6	1	6	4	9
6	2	6	5	10
6	3	4	5	7
6	4	7	4	8
6	5	6	5	6
7	1	4	.	.
7	2	2	.	4
7	3	2	2	2
7	4	3	2	6
7	5	.	5	9
8	1	3	2	5
8	2	2	3	4
8	3	2	2	4
8	4	2	2	1
8	5	.	.	2
9	1	2	2	4
9	2	2	3	.
9	3	4	3	4
9	4	2	1	0
9	5	5	3	6
10	1	3	3	5
10	2	1	2	4
10	3	4	.	6
10	4	.	4	5
10	5	0	3	2
11	1	6	6	7
11	2	5	4	4
11	3	7	4	7
11	4	4	5	8
11	5	8	6	10
12	1	2	3	3
12	2	5	2	7
12	3	5	2	4
12	4	2	4	.
12	5	3	2	3
13	1	.	5	3
13	2	3	3	5
13	3	2	3	3
13	4	.	3	7
13	5	5	4	4
14	1	1	4	5
14	2	6	3	7
14	3	5	4	4
14	4	4	2	2
14	5	4	2	4
15	1	3	2	4
15	2	.	1	0
15	3	1	3	3
15	4	4	3	5
15	5	2	2	5
16	1	9	.	.
16	2	6	6	.
16	3	6	4	9
16	4	4	4	4
16	5	6	4	8
17	1	5	4	.
17	2	5	4	8
17	3	3	2	4
17	4	6	4	5
17	5	2	1	.
18	1	1	1	0
18	2	0	1	1
18	3	0	0	1
18	4	0	2	1
18	5	0	0	-2
19	1	0	3	0
19	2	5	3	6
19	3	4	3	.
19	4	3	5	5
19	5	4	5	10
20	1	2	2	3
20	2	.	.	1
20	3	0	1	1
20	4	6	4	6
20	5	7	5	8
21	1	.	1	4
21	2	0	.	2
21	3	.	1	3
21	4	0	1	1
21	5	3	.	2
22	1	.	2	3
22	2	2	1	1
22	3	.	1	2
22	4	3	1	3
22	5	.	3	4
23	1	2	1	4
23	2	0	1	0
23	3	4	4	6
23	4	2	1	4
23	5	4	1	6
24	1	-1	0	-2
24	2	1	1	0
24	3	0	2	3
24	4	0	1	.
24	5	5	.	8
25	1	0	1	0
25	2	4	.	5
25	3	4	2	.
25	4	1	3	5
25	5	2	2	0
26	1	3	3	2
26	2	.	1	2
26	3	0	1	1
26	4	0	0	1
26	5	4	2	8
27	1	3	3	.
27	2	2	3	2
27	3	4	3	7
27	4	5	.	8
27	5	2	2	1
28	1	0	1	0
28	2	3	4	7
28	3	5	4	.
28	4	4	4	4
28	5	3	3	5
29	1	0	1	2
29	2	2	3	2
29	3	.	2	3
29	4	1	3	5
29	5	0	0	.
30	1	9	5	9
30	2	4	4	7
30	3	5	4	7
30	4	.	.	6
30	5	7	5	9
31	1	1	2	0
31	2	4	4	.
31	3	5	4	6
31	4	2	3	2
31	5	4	3	.
32	1	.	.	7
32	2	6	4	5
32	3	4	3	4
32	4	3	.	5
32	5	4	2	.
33	1	6	5	12
33	2	7	5	9
33	3	.	7	10
33	4	4	5	6
33	5	1	3	3
34	1	4	4	6
34	2	4	5	7
34	3	4	4	6
34	4	.	3	5
34	5	5	5	7
35	1	4	.	5
35	2	2	3	7
35	3	5	6	7
35	4	5	.	5
35	5	4	4	5
36	1	1	3	3
36	2	3	3	5
36	3	3	3	3
36	4	5	1	.
36	5	6	3	4
37	1	6	.	7
37	2	6	5	8
37	3	5	3	5
37	4	3	3	3
37	5	3	4	.
38	1	3	2	3
38	2	2	.	4
38	3	2	3	4
38	4	5	2	4
38	5	0	.	2
39	1	2	1	4
39	2	4	4	.
39	3	5	4	6
39	4	3	.	3
39	5	1	2	.
40	1	6	4	.
40	2	4	2	3
40	3	3	3	.
40	4	3	3	5
40	5	1	1	2
41	1	1	1	2
41	2	0	1	0
41	3	1	1	1
41	4	4	2	2
41	5	-1	2	2
42	1	4	3	6
42	2	3	.	5
42	3	4	1	1
42	4	3	3	6
42	5	5	.	6
43	1	4	2	2
43	2	2	2	2
43	3	2	1	.
43	4	4	2	2
43	5	5	2	5
44	1	8	5	11
44	2	10	6	11
44	3	7	6	8
44	4	8	5	8
44	5	8	5	8
45	1	.	4	5
45	2	3	3	3
45	3	6	4	9
45	4	3	3	.
45	5	5	4	6
46	1	2	1	2
46	2	5	3	5
46	3	2	2	3
46	4	1	2	5
46	5	5	3	4
47	1	5	4	.
47	2	5	4	8
47	3	0	1	3
47	4	5	4	8
47	5	3	1	4
48	1	3	3	6
48	2	3	4	6
48	3	2	4	5
48	4	4	3	3
48	5	4	4	5
49	1	6	.	9
49	2	5	3	6
49	3	8	5	11
49	4	4	4	.
49	5	2	4	.
50	1	2	1	2
50	2	8	4	10
50	3	3	3	4
50	4	5	5	8
50	5	5	.	5
51	1	7	5	8
51	2	4	.	5
51	3	.	4	.
51	4	5	3	2
51	5	3	3	5
52	1	5	3	5
52	2	6	4	8
52	3	4	3	6
52	4	0	1	2
52	5	3	1	6
53	1	3	3	5
53	2	5	.	.
53	3	5	2	5
53	4	1	0	4
53	5	3	3	3
54	1	7	5	9
54	2	9	6	.
54	3	.	4	.
54	4	5	.	7
54	5	6	6	8
55	1	0	2	2
55	2	2	3	4
55	3	3	2	5
55	4	0	1	1
55	5	3	3	5
56	1	8	4	10
56	2	7	3	8
56	3	5	5	7
56	4	5	5	6
56	5	4	4	.
57	1	0	2	6
57	2	1	3	5
57	3	1	2	2
57	4	0	0	0
57	5	-1	0	1
58	1	5	3	.
58	2	7	3	9
58	3	4	1	2
58	4	2	3	4
58	5	.	3	7
59	1	3	2	6
59	2	1	3	3
59	3	4	4	7
59	4	5	3	.
59	5	4	.	.
60	1	6	.	6
60	2	4	3	6
60	3	2	3	.
60	4	4	3	7
60	5	5	4	5
61	1	4	4	6
61	2	5	3	4
61	3	6	5	7
61	4	5	5	8
61	5	3	4	8
62	1	.	3	6
62	2	4	2	6
62	3	6	4	9
62	4	3	4	.
62	5	4	2	2
63	1	0	1	.
63	2	0	1	3
63	3	3	.	4
63	4	4	3	5
63	5	3	3	6
64	1	4	.	4
64	2	1	3	4
64	3	3	.	6
64	4	1	1	0
64	5	1	1	2
65	1	0	.	0
65	2	2	2	.
65	3	0	3	2
65	4	3	1	5
65	5	1	2	3
66	1	3	2	6
66	2	5	4	5
66	3	1	2	3
66	4	3	3	2
66	5	2	.	2
67	1	6	4	.
67	2	2	2	3
67	3	6	3	6
67	4	8	4	8
67	5	6	3	5
68	1	.	4	5
68	2	2	2	4
68	3	2	3	.
68	4	4	2	4
68	5	4	4	4
69	1	3	4	7
69	2	9	6	.
69	3	5	4	.
69	4	5	4	.
69	5	6	3	.
70	1	7	4	6
70	2	6	5	8
70	3	8	6	10
70	4	10	5	.
70	5	7	6	8
71	1	4	3	5
71	2	4	1	5
71	3	5	4	6
71	4	1	2	1
71	5	5	3	7
72	1	0	0	1
72	2	-2	0	-1
72	3	0	0	1
72	4	0	0	2
72	5	2	.	4
73	1	5	7	6
73	2	5	5	8
73	3	3	4	5
73	4	4	.	7
73	5	4	4	4
74	1	.	3	7
