1	.	3	8	3	.	6	.	3	.	.	.	6	2	.	3	3	2	0	1	.	.	3	3	2	.	3	6	3	2	4	3	.	.	3	1	6	4	3	4	3	2	2	2	1	1	6	2	8	2	2	2	0	.	5	0	2	1	-1	.	2	3	4	5	4	3	.	.	3	6	.	3	.	2	2	1	4	3	1	4	.	0	2	1	.	4	3	5	.	2	1	6	5	8	4	.	5	4	.	.	2	2	0	2	.	1	0	1	3	2	3	2	2	.	7	2	2	5	1	1	.	2	2	4	3	2	1	5	3	6	1	1	3	.	2	2
2	6	3	7	2	.	3	0	1	.	1	2	5	3	.	4	2	3	4	4	3	4	.	.	4	.	4	.	5	4	7	5	3	4	5	.	.	.	3	6	4	3	3	0	1	.	3	2	.	.	2	.	.	3	4	.	4	8	.	4	7	6	2	8	3	.	5	0	3	3	2	2	2	3	3	.	.	4	6	5	3	4	3	3	3	2	1	.	5	2	6	3	2	4	4	2	2	3	2	6	2	.	5	3	3	7	0	1	2	4	3	.	.	3	5	3	3	.	.	3	.	5	2	3	4	4	4	5	4	.	2	3	2	2	3	4
3	8	.	10	8	6	10	8	6	9	.	.	8	8	5	12	4	4	.	8	7	11	3	4	5	.	6	6	.	5	9	5	3	6	5	3	.	5	4	5	2	4	.	7	5	.	5	5	7	3	3	4	7	5	7	7	5	8	8	6	11	8	7	10	6	5	.	3	5	4	.	4	9	.	.	4	7	4	10	7	4	6	4	4	5	.	7	10	.	6	8	.	.	9	7	.	9	3	4	4	.	6	.	4	.	6	.	5	7	6	.	8	5	5	7	9	6	.	.	5	8	7	7	.	5	.	4	4	5	.	.	5	.	7	.	9
4	0	.	0	3	3	.	3	3	.	4	4	7	2	2	6	.	4	4	6	5	7	6	4	7	2	2	7	4	4	5	1	1	.	.	2	.	4	.	6	3	1	1	4	2	3	4	4	.	1	1	1	.	3	3	5	4	6	.	3	3	3	4	6	3	3	4	4	.	.	0	2	.	5	5	9	1	2	.	.	4	4	3	2	4	5	4	8	.	.	7	3	3	4	.	.	.	3	.	4	4	.	6	3	.	5	5	4	10	.	.	.	3	2	3	4	3	.	5	3	.	2	2	4	3	1	2	5	3	5	4	.	.	1	1	1
5	5	.	4	4	2	.	4	3	4	1	3	4	4	4	.	6	.	8	4	3	6	2	3	2	4	2	3	4	3	.	3	2	2	2	.	0	5	3	8	2	3	5	4	3	6	4	5	8	3	3	3	.	4	6	3	2	2	3	4	.	4	4	4	1	2	4	2	1	3	3	3	.	5	4	5	1	3	1	3	2	.	5	3	7	4	4	5	3	4	6	5	3	7	4	3	.	4	3	6	2	3	5	4	3	3	1	1	.	5	.	.	3	3	5	.	4	7	5	4	3	7	4	8	5	3	9	6	3	.	4	5	.	2	3	4
6	5	5	8	9	6	13	.	.	7	8	5	11	4	2	3	5	5	8	8	.	7	6	5	8	2	5	9	6	5	8	2	5	7	7	5	8	8	6	7	2	3	1	8	5	10	5	5	.	6	.	8	.	7	11	8	.	8	6	4	6	7	5	8	9	5	11	7	7	9	3	3	2	2	.	4	.	6	.	7	.	.	6	.	.	7	.	10	7	6	6	.	3	3	5	6	.	6	.	7	7	.	6	.	.	5	7	.	10	7	6	.	8	6	7	8	.	5	4	.	6	9	5	8	8	.	9	8	5	12	7	.	9	.	6	.
7	8	5	9	4	.	.	.	.	.	4	3	5	3	.	7	5	.	6	.	3	8	4	.	5	5	.	5	4	3	3	3	3	.	4	2	7	6	4	8	.	4	5	7	5	7	6	3	7	.	4	.	2	3	5	6	5	12	5	2	3	.	4	.	5	6	8	6	4	8	.	2	3	.	3	4	1	3	4	5	4	5	2	3	.	5	3	6	3	.	7	3	.	3	3	3	4	5	4	9	5	4	9	2	2	1	5	3	6	3	2	6	.	2	1	4	.	5	.	4	.	.	4	6	3	5	4	5	4	.	5	.	6	.	2	4
8	2	1	1	4	2	1	3	1	4	0	.	.	3	2	5	4	5	4	4	1	.	.	.	2	1	1	0	.	.	8	.	2	3	4	2	.	3	.	.	.	3	3	0	1	1	2	2	3	0	0	3	.	0	-2	1	2	3	5	3	7	4	2	3	3	.	4	3	2	5	1	1	1	0	1	0	2	.	1	0	2	.	2	2	2	.	1	0	5	.	5	3	3	5	0	1	2	4	.	4	7	.	6	0	2	.	2	2	3	1	2	0	2	1	.	1	2	2	4	3	5	.	1	.	3	1	2	1	0	4	.	2	4	.	.	1
9	3	1	.	.	.	5	1	.	2	4	3	8	0	1	.	1	3	.	.	.	4	3	.	2	.	0	2	2	2	5	2	3	5	0	1	2	2	1	1	2	3	5	0	.	1	.	3	7	.	2	.	.	3	.	0	0	.	2	1	4	2	1	2	2	3	2	2	.	4	3	1	4	1	1	1	.	3	5	.	3	5	1	3	1	2	2	3	.	2	0	0	0	0	1	3	3	2	2	3	3	2	.	1	3	5	2	3	1	3	2	4	0	.	0	4	3	5	.	3	7	3	2	7	2	.	6	1	.	3	0	0	1	3	3	4
10	3	3	2	2	1	1	1	1	2	3	3	3	.	2	.	2	1	2	1	.	2	7	3	9	4	2	4	.	4	5	-1	0	0	3	.	4	.	3	2	0	1	2	6	3	.	0	2	.	3	2	6	5	3	.	3	3	.	2	2	2	4	2	.	2	4	3	3	.	.	1	1	3	.	4	8	1	3	4	1	1	2	.	4	.	4	3	3	.	2	1	2	0	.	3	4	2	5	3	8	3	4	7	1	2	.	.	1	.	.	3	4	4	3	4	5	2	.	1	2	1	5	.	8	1	1	3	3	2	.	6	2	7	3	.	5
