"par" "long" "wide" "trunc" "tv"
"1" "loadings1" 0 0 0 0
"2" "loadings2" 0.00099999999999989 0.002 0.0069999999999999 0.244518574618235
"3" "loadings3" 0.00700000000000001 0.00700000000000001 0.0539999999999999 0.225008888713313
"4" "loadings4" 0.0310000000000001 0.032 0.0490000000000002 0.235345844804336
"5" "ar.effect" 0.027 0.026 0.032 0.294439795380054
"6" "error.var1" 0.0579999999999998 0.056 0.262 0.528202967617563
"7" "error.var2" 0.0860000000000001 0.083 0.0189999999999999 0.485563461351861
"8" "error.var3" 0.018 0.0209999999999999 0.0640000000000001 0.716558615885679
"9" "error.var4" 0.073 0.0800000000000001 0.452 0.679186093791679
"10" "state.var" 0 0.00999999999999979 0.337 0.35705601801398
"11" "intercepts1" 0.131 0.126 0.471 0.588711552177012
"12" "intercepts2" 0.197 0.186 0.553 0.454999725274642
"13" "intercepts3" 0.0990000000000002 0.085 0.563 0.491850925925054
"14" "intercepts4" 0.00599999999999978 0.00999999999999979 0.341 0.470922808607384
"15" "trait.ind.var1" 0.231 0.424 0.621 0.913
"16" "trait.ind.var2" 0.123 0.287 0.484 0.649
"17" "trait.ind.var3" 0.198 0.309 0.292 0.195
"18" "trait.ind.var4" 0.292 0.491 0.611 0.489
"19" "cov12" 0.141 0.293 0.489 0.682
"20" "cov13" 0.246 0.344 0.424 0.394
"21" "cov23" 0.221 0.312 0.405 0.377
"22" "cov14" 0.236 0.346 0.478 0.482
"23" "cov24" 0.162 0.249 0.395 0.331
"24" "cov34" 0.213 0.337 0.388 0.186
