1	2	1	1	1	1	5	0	1	2	4	2	5	2	2	6
2	0	1	1	0	0	.	0	0	0	2	2	2	0	0	0
3	0	0	-1	-1	0	-1	.	.	0	0	0	2	.	-1	0
4	1	1	2	2	1	4	2	3	5	-1	0	0	0	3	3
5	0	2	4	3	2	3	-3	2	1	1	1	4	0	2	2
6	0	1	1	-3	0	-5	0	.	-1	-1	0	.	1	0	0
7	-2	0	0	0	1	0	-1	1	-2	-2	2	0	0	1	2
8	5	4	5	3	5	6	2	.	1	0	3	0	1	3	1
9	4	3	6	3	1	3	3	3	7	1	3	4	2	3	3
10	5	4	5	5	3	7	3	4	3	2	3	2	.	4	4
11	0	2	.	4	1	6	.	1	1	0	1	0	1	.	3
12	1	2	2	.	2	2	5	1	3	1	1	.	0	3	1
13	-1	0	0	0	0	4	0	2	5	6	3	5	2	1	4
14	1	1	1	0	2	1	2	3	3	0	2	3	0	2	4
15	2	2	2	2	3	2	1	2	.	4	3	6	5	4	7
16	1	0	.	-2	-1	.	-2	-1	-1	-4	-3	-7	0	0	-1
17	0	1	1	2	2	2	1	1	0	0	1	0	0	.	4
18	.	.	5	1	4	4	3	5	6	2	.	5	1	3	3
19	1	4	5	2	3	4	0	1	0	0	1	-1	-1	2	1
20	2	4	6	3	3	4	3	2	4	1	4	6	1	4	7
21	2	.	3	5	5	5	5	5	8	2	3	3	2	3	1
22	4	1	7	2	3	6	2	2	5	1	5	.	.	1	2
23	1	.	.	2	3	1	3	2	5	5	4	6	2	3	6
24	4	6	4	5	4	7	4	3	5	3	4	6	0	1	0
25	2	3	2	2	2	1	2	3	3	2	2	3	.	3	1
26	4	5	8	5	5	7	4	4	5	8	5	9	5	3	7
27	0	2	0	.	3	6	.	.	5	2	3	3	1	1	5
28	0	2	.	2	3	.	.	1	3	0	3	0	2	1	1
29	3	4	.	8	5	10	5	4	10	2	2	4	2	.	3
30	-1	0	2	.	0	-2	0	0	-2	0	2	4	2	2	2
31	4	1	3	3	2	2	2	3	1	2	0	0	.	3	3
