1	3	2	5	3	.	.	2	4	3	2	6	.	4	1	5	5	2	.	4	4	0	0	2	2	0	1	0	1	.	.	.	5	1	.	5	6	2	3	.	3	.	1	2	3	0	1	1	3	1	2	1	4	0	3	4	.	0	0	1	.
2	0	2	0	3	.	0	.	2	1	2	2	4	-1	0	0	0	0	1	0	1	.	1	1	2	.	1	-1	2	.	3	1	3	0	1	2	3	0	2	2	4	.	1	.	.	0	1	3	4	0	2	3	5	1	3	.	6	3	1	0	3
3	-1	0	.	0	0	0	.	3	.	1	.	1	-1	1	1	1	0	1	2	2	0	2	.	2	0	1	0	.	-2	0	-1	0	-1	2	.	.	-3	0	.	0	1	1	0	1	-2	1	-1	0	0	0	-2	2	-6	.	-6	-3	-2	-1	.	0
4	3	2	3	4	3	2	6	5	0	1	.	2	1	1	0	.	3	2	4	.	4	4	7	5	.	2	.	5	.	2	2	1	0	0	0	.	3	2	3	.	1	1	.	2	1	1	3	.	0	2	0	2	5	.	5	4	4	3	.	5
5	2	3	4	3	0	2	2	0	2	3	.	2	1	.	.	0	0	2	2	1	.	2	.	3	0	0	-1	2	-1	1	.	3	0	1	5	2	2	3	4	3	2	5	4	2	6	4	.	3	0	0	0	2	0	2	4	5	2	4	10	6
6	-5	0	-4	-3	-2	0	0	.	-2	0	-1	1	.	1	1	1	1	1	3	3	.	0	0	0	0	2	2	2	1	0	0	1	1	.	2	2	1	.	.	1	.	1	2	4	.	3	.	3	2	1	2	.	0	0	0	0	0	0	.	1
7	0	1	.	2	-2	2	1	2	-1	1	.	0	0	2	1	2	2	2	1	3	0	.	3	5	1	3	6	.	0	.	0	2	0	1	0	0	.	1	0	.	1	2	2	.	.	3	3	2	4	4	4	4	1	3	5	4	3	2	5	.
8	3	4	6	5	0	2	2	1	0	.	1	1	.	.	-1	1	.	5	8	3	2	4	6	4	8	.	10	8	3	4	7	4	5	.	.	6	5	5	.	.	7	4	7	.	3	4	7	.	4	4	9	6	.	.	7	4	4	5	8	5
9	1	1	2	3	4	.	3	5	2	.	.	3	2	2	3	3	3	.	.	4	3	3	5	5	3	.	.	5	2	1	0	3	.	1	3	3	0	0	4	2	.	0	.	.	3	.	3	5	5	.	.	7	5	3	6	6	4	2	5	6
10	.	.	.	3	2	3	2	5	2	1	0	4	4	.	5	.	1	2	.	4	3	3	.	.	4	.	3	4	3	1	4	4	3	3	2	.	.	.	3	.	.	4	2	3	4	1	3	.	.	4	5	.	.	4	5	8	3	1	2	3
11	3	2	1	2	0	0	1	.	0	0	1	0	.	1	1	3	-2	0	0	0	0	.	3	3	7	4	8	5	0	1	3	2	0	1	3	3	2	0	6	4	2	1	2	3	2	1	2	1	2	1	5	.	0	0	0	1	0	0	0	1
12	.	2	1	4	2	1	4	4	0	.	.	1	1	2	.	3	0	0	-2	2	-2	0	-2	.	4	4	.	5	4	3	5	5	.	2	4	5	0	1	1	3	.	2	4	2	0	0	-1	1	0	1	2	3	5	.	.	6	2	3	3	3
13	2	2	.	3	2	2	6	.	.	2	6	3	1	2	5	.	.	2	3	5	.	3	.	3	0	0	0	1	.	3	8	5	1	3	5	4	2	.	5	5	0	.	2	1	0	2	4	4	1	1	5	4	0	1	1	2	0	1	3	.
14	1	2	3	4	2	2	2	.	2	1	1	3	3	3	2	2	.	.	4	2	0	0	-2	0	0	1	2	2	.	1	0	.	-1	1	.	1	0	1	1	1	2	3	3	4	4	.	5	.	1	.	1	.	4	2	3	3	2	2	1	3
15	2	.	.	4	1	1	0	2	5	3	4	5	6	3	6	5	3	.	3	6	2	4	.	3	.	3	3	5	4	4	3	6	3	4	2	.	3	3	3	4	1	.	3	.	2	4	3	2	2	2	0	2	.	2	2	3	1	2	2	5
